Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
23/08/2020,Nimes,4,0,1,0,0,2,0,12,5,14,4,2,0
30/08/2020,Nimes,1,2,0,0,1,0,2,17,9,9,8,2,0
13/09/2020,Nimes,2,4,0,0,1,1,2,17,9,17,8,2,0
18/09/2020,Nimes,7,6,1,0,2,3,4,46,23,40,20,6,0
27/09/2020,Nimes,3,6,0,1,2,1,4,44,21,38,18,6,0
04/10/2020,Nimes,3,5,0,2,1,1,3,40,16,39,15,4,0
16/10/2020,Nimes,2,1,1,2,0,0,1,31,8,37,9,3,0
25/10/2020,Nimes,2,5,1,1,1,0,2,26,7,35,8,2,1
01/11/2020,Nimes,1,6,1,0,2,0,1,21,7,41,7,5,1
08/11/2020,Nimes,0,7,0,0,3,0,2,29,8,39,15,7,1
22/11/2020,Nimes,1,8,0,0,3,0,3,35,10,41,20,8,0
29/11/2020,Nimes,2,6,1,0,2,0,3,33,11,36,17,6,0
04/12/2020,Nimes,2,8,1,0,2,0,3,23,11,32,10,4,1
13/12/2020,Nimes,1,5,1,0,2,0,1,19,7,31,5,5,2
16/12/2020,Nimes,0,8,0,0,3,0,3,19,4,27,7,4,2
20/12/2020,Nimes,0,7,0,0,3,0,2,28,6,26,8,4,1
23/12/2020,Nimes,2,7,0,1,2,1,3,30,10,24,10,4,0
06/01/2021,Nimes,3,7,0,1,2,2,1,32,9,27,14,6,1
09/01/2021,Nimes,3,10,0,1,2,2,4,23,7,25,15,7,1
16/01/2021,Nimes,1,9,0,0,3,1,4,21,3,28,14,4,1
31/01/2021,Nimes,2,7,1,0,2,0,4,21,7,24,10,4,0
03/02/2021,Nimes,3,5,1,0,2,1,3,23,9,25,13,5,0
07/02/2021,Nimes,3,7,1,0,2,1,4,35,15,24,18,6,0
14/02/2021,Nimes,4,10,0,0,3,3,6,36,14,30,20,6,0
21/02/2021,Nimes,5,7,1,0,2,2,4,36,14,36,12,4,0
24/02/2021,Nimes,7,4,2,0,1,3,2,25,11,35,11,3,0
28/02/2021,Nimes,5,0,3,0,0,1,0,23,9,33,10,3,0
03/03/2021,Nimes,4,1,2,1,0,1,1,23,9,36,11,4,1
