Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
10/09/2020,Paris SG,0,1,0,0,1,0,0,8,1,10,2,2,0
13/09/2020,Paris SG,0,1,0,0,1,0,1,14,4,17,4,6,3
16/09/2020,Paris SG,1,0,1,0,0,0,0,20,8,8,8,3,1
20/09/2020,Paris SG,1,2,1,0,2,0,1,42,13,35,14,11,4
27/09/2020,Paris SG,4,1,2,0,1,2,1,48,18,34,19,11,4
02/10/2020,Paris SG,6,0,3,0,0,3,0,55,21,27,22,7,1
16/10/2020,Paris SG,11,1,3,0,0,5,0,53,25,30,20,5,0
24/10/2020,Paris SG,12,1,3,0,0,4,0,69,30,33,22,5,0
31/10/2020,Paris SG,14,1,3,0,0,5,0,68,32,35,19,3,0
07/11/2020,Paris SG,11,0,3,0,0,3,0,63,24,37,17,3,0
20/11/2020,Paris SG,10,0,3,0,0,4,0,42,19,44,10,4,0
28/11/2020,Paris SG,8,3,2,0,1,4,0,31,14,51,7,7,1
05/12/2020,Paris SG,7,5,1,1,1,6,1,34,19,46,17,7,1
13/12/2020,Paris SG,7,6,1,1,1,5,2,38,19,41,18,7,1
16/12/2020,Paris SG,5,4,1,1,1,3,3,36,16,33,22,8,0
20/12/2020,Paris SG,5,2,2,0,1,1,2,44,15,44,17,10,0
23/12/2020,Paris SG,2,1,1,1,1,0,1,39,10,41,19,9,0
06/01/2021,Paris SG,6,0,2,1,0,1,0,49,17,37,19,5,0
09/01/2021,Paris SG,5,1,1,2,0,2,1,35,13,30,20,3,0
16/01/2021,Paris SG,8,1,2,1,0,3,1,49,23,26,22,2,0
22/01/2021,Paris SG,5,1,2,1,0,2,1,44,18,32,24,4,0
31/01/2021,Paris SG,8,0,3,0,0,2,0,60,22,36,21,5,0
03/02/2021,Paris SG,7,3,2,0,1,2,1,52,14,38,23,6,0
07/02/2021,Paris SG,9,3,2,0,1,4,1,54,17,38,20,4,0
13/02/2021,Paris SG,7,3,2,0,1,5,1,37,11,34,14,4,0
21/02/2021,Paris SG,7,1,3,0,0,5,0,40,12,37,9,4,0
27/02/2021,Paris SG,4,3,2,0,1,3,1,36,7,36,8,8,0
03/03/2021,Paris SG,6,3,2,0,1,3,1,34,10,33,11,7,0
