Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
23/08/2020,Reims,2,2,0,1,0,2,1,9,3,14,1,3,0
30/08/2020,Reims,0,1,0,0,1,0,1,4,0,20,1,4,0
13/09/2020,Reims,0,1,0,0,1,0,0,7,2,12,2,2,1
20/09/2020,Reims,2,4,0,1,2,2,2,20,5,46,4,9,1
27/09/2020,Reims,1,4,0,0,3,1,2,21,6,39,8,10,2
04/10/2020,Reims,1,5,0,0,3,1,2,25,9,30,10,8,2
17/10/2020,Reims,3,6,0,1,2,2,4,27,11,34,10,9,1
25/10/2020,Reims,3,7,0,1,2,2,3,23,10,41,8,9,2
01/11/2020,Reims,7,5,1,1,1,5,2,39,16,41,13,7,2
08/11/2020,Reims,7,4,2,0,1,6,1,42,16,38,16,4,2
22/11/2020,Reims,10,5,2,1,0,5,2,44,19,31,14,1,0
29/11/2020,Reims,6,6,1,1,1,2,2,36,16,38,13,4,0
06/12/2020,Reims,4,8,0,1,2,0,2,34,14,36,10,5,1
13/12/2020,Reims,0,4,0,1,2,0,1,37,10,41,15,5,1
16/12/2020,Reims,1,5,0,1,2,0,2,31,8,34,12,3,1
19/12/2020,Reims,4,4,1,1,1,0,2,34,10,36,13,4,0
23/12/2020,Reims,5,5,1,1,1,1,3,25,9,34,10,6,0
06/01/2021,Reims,7,4,2,1,0,3,2,25,10,35,11,6,0
09/01/2021,Reims,4,2,1,2,0,3,1,21,9,35,15,6,0
17/01/2021,Reims,6,2,2,1,0,4,0,26,11,44,12,5,0
24/01/2021,Reims,4,3,1,1,1,3,0,24,10,43,12,5,0
31/01/2021,Reims,5,3,2,0,1,4,0,27,9,46,7,6,0
03/02/2021,Reims,3,2,2,0,1,2,0,30,11,35,10,6,0
06/02/2021,Reims,2,0,2,1,0,1,0,32,9,30,9,7,0
13/02/2021,Reims,1,1,1,1,1,0,0,33,10,26,12,8,0
20/02/2021,Reims,1,2,0,2,1,1,0,32,11,27,13,8,0
28/02/2021,Reims,2,3,0,2,1,1,0,26,11,32,11,8,0
03/03/2021,Reims,2,2,0,3,0,1,0,22,10,29,11,5,0
