Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
22/08/2020,Rennes,1,1,0,1,0,0,1,16,3,16,2,1,1
29/08/2020,Rennes,2,1,1,0,0,1,0,16,7,18,2,3,1
13/09/2020,Rennes,4,2,1,0,0,2,1,10,6,13,4,6,0
19/09/2020,Rennes,7,4,2,1,0,3,2,42,16,47,8,10,2
26/09/2020,Rennes,8,4,3,0,0,3,2,40,16,42,15,10,1
04/10/2020,Rennes,9,3,3,0,0,3,2,34,15,36,17,8,0
16/10/2020,Rennes,7,3,2,1,0,3,2,42,12,35,23,6,0
23/10/2020,Rennes,6,3,1,2,0,4,1,40,12,37,19,7,0
31/10/2020,Rennes,4,5,0,2,1,4,2,41,7,36,20,8,0
07/11/2020,Rennes,4,4,1,1,1,2,1,47,12,26,18,5,0
20/11/2020,Rennes,3,6,1,0,2,1,3,51,12,28,20,3,0
27/11/2020,Rennes,2,5,1,0,2,0,3,54,13,35,22,3,0
05/12/2020,Rennes,1,5,0,1,2,0,4,51,12,45,21,2,0
13/12/2020,Rennes,1,4,0,1,2,0,3,45,13,48,22,3,0
16/12/2020,Rennes,2,3,1,1,1,1,2,47,17,40,21,2,0
20/12/2020,Rennes,3,3,2,0,1,1,2,41,15,47,23,3,0
23/12/2020,Rennes,6,1,3,0,0,2,1,46,15,38,17,4,0
06/01/2021,Rennes,6,1,3,0,0,1,1,41,15,42,17,4,0
09/01/2021,Rennes,4,0,2,1,0,1,0,34,10,36,11,5,0
17/01/2021,Rennes,3,2,1,2,0,1,0,33,12,39,11,4,0
24/01/2021,Rennes,4,3,1,2,0,2,1,29,10,33,8,4,0
03/02/2021,Rennes,4,4,1,1,1,2,2,32,12,32,7,4,0
06/02/2021,Rennes,3,3,1,1,1,2,2,28,12,37,10,5,0
14/02/2021,Rennes,1,2,0,2,1,1,1,31,9,40,11,8,0
21/02/2021,Rennes,1,3,0,2,1,1,1,33,9,46,16,11,0
26/02/2021,Rennes,1,4,0,1,2,0,3,37,8,41,17,11,0
03/03/2021,Rennes,2,6,0,0,3,1,4,44,12,47,19,7,0
