Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
30/08/2020,St Etienne,2,0,1,0,0,1,0,13,5,14,2,2,0
12/09/2020,St Etienne,2,0,1,0,0,0,0,10,4,13,6,1,0
17/09/2020,St Etienne,2,0,1,0,0,1,0,12,5,15,6,2,0
20/09/2020,St Etienne,6,0,3,0,0,2,0,35,14,42,14,5,0
26/09/2020,St Etienne,6,2,2,1,0,2,0,28,13,45,14,5,0
03/10/2020,St Etienne,4,5,1,1,1,2,1,24,13,43,14,5,0
18/10/2020,St Etienne,2,7,0,1,2,1,2,14,9,38,8,4,2
25/10/2020,St Etienne,1,8,0,0,3,0,4,19,9,36,13,4,2
01/11/2020,St Etienne,1,7,0,0,3,0,4,23,5,43,10,6,2
08/11/2020,St Etienne,1,6,0,0,3,0,4,29,4,49,18,8,0
21/11/2020,St Etienne,1,5,0,0,3,1,2,34,4,53,16,9,0
29/11/2020,St Etienne,2,7,0,0,3,2,5,41,5,45,19,7,0
06/12/2020,St Etienne,3,7,0,1,2,3,4,40,10,44,14,8,0
11/12/2020,St Etienne,2,5,0,2,1,2,4,31,8,38,13,6,0
16/12/2020,St Etienne,1,1,0,3,0,1,0,28,10,44,12,8,0
20/12/2020,St Etienne,2,1,1,2,0,1,1,40,13,43,13,6,0
23/12/2020,St Etienne,4,3,1,2,0,2,2,51,20,45,15,7,0
06/01/2021,St Etienne,6,5,1,2,0,4,3,55,23,42,20,6,0
09/01/2021,St Etienne,5,5,0,3,0,4,3,47,20,41,25,5,0
17/01/2021,St Etienne,4,6,0,2,1,3,4,43,17,43,22,7,0
24/01/2021,St Etienne,2,5,0,1,2,1,4,33,14,39,15,7,0
31/01/2021,St Etienne,1,9,0,0,3,0,5,25,9,39,7,9,0
03/02/2021,St Etienne,1,6,1,0,2,0,3,21,4,33,14,7,0
07/02/2021,St Etienne,2,6,1,1,1,0,3,27,9,39,16,8,0
14/02/2021,St Etienne,3,1,2,1,0,1,1,36,12,35,23,7,0
20/02/2021,St Etienne,4,1,2,1,0,2,1,32,14,40,14,7,0
28/02/2021,St Etienne,4,1,2,1,0,2,0,36,14,35,10,4,0
03/03/2021,St Etienne,4,3,1,1,1,2,0,33,13,41,5,5,0
