Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
23/08/2020,Strasbourg,1,3,0,0,1,1,0,7,1,10,1,2,0
29/08/2020,Strasbourg,0,2,0,0,1,0,1,6,0,14,3,2,0
12/09/2020,Strasbourg,0,2,0,0,1,0,0,14,7,19,3,3,0
20/09/2020,Strasbourg,1,7,0,0,3,1,1,27,8,43,7,7,0
27/09/2020,Strasbourg,1,4,1,0,2,0,1,37,13,43,14,6,0
04/10/2020,Strasbourg,3,5,1,0,2,0,2,42,18,41,13,5,0
18/10/2020,Strasbourg,3,6,1,0,2,0,3,42,14,33,21,3,0
25/10/2020,Strasbourg,4,9,0,0,3,1,6,45,17,36,17,4,0
01/11/2020,Strasbourg,5,6,1,0,2,3,4,41,17,35,17,6,0
06/11/2020,Strasbourg,6,5,1,0,2,4,5,36,17,37,9,7,0
22/11/2020,Strasbourg,4,3,1,0,2,3,2,25,10,37,7,5,0
27/11/2020,Strasbourg,4,7,0,0,3,4,5,27,10,37,8,3,0
06/12/2020,Strasbourg,4,6,0,1,2,4,3,24,10,35,7,1,1
13/12/2020,Strasbourg,8,5,1,1,1,6,3,28,17,35,8,3,1
16/12/2020,Strasbourg,7,3,1,2,0,3,1,37,16,35,10,5,1
20/12/2020,Strasbourg,8,2,2,1,0,2,1,38,16,35,10,7,0
23/12/2020,Strasbourg,4,4,1,1,1,0,2,35,10,37,12,7,0
06/01/2021,Strasbourg,2,6,1,0,2,0,2,25,8,35,12,4,0
09/01/2021,Strasbourg,5,6,1,0,2,3,2,39,17,36,20,3,0
17/01/2021,Strasbourg,6,4,2,0,1,4,1,39,18,36,19,2,0
24/01/2021,Strasbourg,7,0,3,0,0,5,0,46,19,50,21,4,0
31/01/2021,Strasbourg,3,1,2,1,0,2,0,40,9,47,15,3,0
03/02/2021,Strasbourg,2,2,1,1,1,1,0,42,7,49,15,3,0
06/02/2021,Strasbourg,3,4,0,2,1,1,0,36,8,38,11,3,0
14/02/2021,Strasbourg,2,6,0,1,2,1,2,29,7,39,9,5,1
21/02/2021,Strasbourg,4,6,1,1,1,2,3,29,7,34,12,5,1
28/02/2021,Strasbourg,2,4,1,1,1,1,3,36,5,45,14,5,1
03/03/2021,Strasbourg,3,2,1,2,0,2,1,38,7,49,14,5,0
