Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
19/09/2020,Augsburg,3,1,1,0,0,1,0,9,5,9,1,0,0
26/09/2020,Augsburg,2,0,1,0,0,1,0,6,4,7,3,3,0
04/10/2020,Augsburg,0,0,0,1,0,0,0,9,1,13,2,1,0
17/10/2020,Augsburg,5,1,2,1,0,2,0,24,10,29,6,4,0
26/10/2020,Augsburg,2,2,1,1,1,1,1,21,7,29,10,4,0
31/10/2020,Augsburg,1,5,0,1,2,0,2,22,6,30,10,3,0
07/11/2020,Augsburg,4,6,1,0,2,1,2,27,12,29,12,7,0
21/11/2020,Augsburg,4,7,1,0,2,1,2,31,12,32,9,10,0
28/11/2020,Augsburg,4,5,1,1,1,1,2,34,14,36,7,12,1
07/12/2020,Augsburg,2,5,0,2,1,0,2,30,9,39,7,10,1
13/12/2020,Augsburg,3,5,0,2,1,1,2,33,10,36,8,8,1
16/12/2020,Augsburg,4,6,0,2,1,2,1,31,9,41,9,7,1
19/12/2020,Augsburg,4,5,1,1,1,2,1,29,9,41,8,6,1
02/01/2021,Augsburg,3,4,1,1,1,1,0,31,10,41,7,6,1
10/01/2021,Augsburg,2,2,2,0,1,0,0,34,10,36,8,6,0
16/01/2021,Augsburg,2,6,1,0,2,0,2,40,12,28,9,7,1
20/01/2021,Augsburg,2,6,1,0,2,0,2,31,10,37,11,7,1
23/01/2021,Augsburg,1,7,0,0,3,0,3,29,6,40,13,6,1
30/01/2021,Augsburg,2,4,1,0,2,1,2,23,6,46,11,6,0
06/02/2021,Augsburg,3,5,1,0,2,2,3,22,5,39,8,6,0
12/02/2021,Augsburg,3,6,1,0,2,2,3,22,6,34,10,6,0
21/02/2021,Augsburg,2,7,0,0,3,1,4,18,4,36,12,8,0
28/02/2021,Augsburg,2,5,0,1,2,1,3,19,6,41,12,9,0
