Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
18/09/2020,Bayern Munich,8,0,1,0,0,3,0,22,12,11,9,1,0
27/09/2020,Bayern Munich,1,4,0,0,1,1,2,14,2,11,5,2,0
04/10/2020,Bayern Munich,4,3,1,0,0,1,0,22,9,13,6,3,0
17/10/2020,Bayern Munich,13,7,2,0,1,5,2,58,23,35,20,6,0
24/10/2020,Bayern Munich,9,8,2,0,1,5,2,52,21,30,21,5,1
31/10/2020,Bayern Munich,13,4,3,0,0,6,0,58,29,30,26,6,1
07/11/2020,Bayern Munich,11,2,3,0,0,7,0,43,25,30,21,5,1
21/11/2020,Bayern Munich,10,3,3,0,0,5,1,43,23,31,14,7,0
28/11/2020,Bayern Munich,6,4,2,1,0,3,2,38,16,30,11,5,0
05/12/2020,Bayern Munich,7,4,2,1,0,3,3,45,17,30,13,3,0
12/12/2020,Bayern Munich,7,5,1,2,0,4,4,39,15,28,20,1,0
16/12/2020,Bayern Munich,7,5,1,2,0,4,4,39,17,26,20,2,0
19/12/2020,Bayern Munich,6,5,1,2,0,3,4,38,13,27,24,5,0
03/01/2021,Bayern Munich,5,3,2,1,0,2,3,42,10,28,21,6,0
08/01/2021,Bayern Munich,9,4,3,0,0,2,4,46,17,31,24,6,0
17/01/2021,Bayern Munich,9,6,2,0,1,3,5,48,19,28,25,4,0
20/01/2021,Bayern Munich,9,6,2,0,1,3,4,59,25,26,32,4,0
24/01/2021,Bayern Munich,5,4,2,0,1,4,2,57,17,26,29,2,0
30/01/2021,Bayern Munich,7,1,3,0,0,3,0,74,27,24,28,2,0
05/02/2021,Bayern Munich,9,1,3,0,0,4,1,64,27,30,24,2,0
15/02/2021,Bayern Munich,9,1,3,0,0,4,1,64,30,34,28,3,0
20/02/2021,Bayern Munich,8,4,2,1,0,3,3,51,27,32,26,3,0
27/02/2021,Bayern Munich,5,5,1,1,1,1,4,58,24,29,26,3,0
