Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
19/09/2020,Bielefeld,1,1,0,1,0,0,0,14,4,13,3,2,0
26/09/2020,Bielefeld,1,0,1,0,0,0,0,7,3,12,4,3,0
03/10/2020,Bielefeld,0,1,0,0,1,0,1,10,5,16,1,2,0
17/10/2020,Bielefeld,2,2,1,1,1,0,1,31,12,41,8,7,0
25/10/2020,Bielefeld,2,5,1,0,2,0,4,28,13,34,11,6,0
31/10/2020,Bielefeld,2,7,0,0,3,0,6,29,11,32,10,4,0
07/11/2020,Bielefeld,2,8,0,0,3,0,5,24,8,28,9,3,0
21/11/2020,Bielefeld,1,9,0,0,3,0,5,18,4,31,4,3,0
28/11/2020,Bielefeld,1,9,0,0,3,0,4,11,4,27,1,2,0
05/12/2020,Bielefeld,2,9,0,0,3,0,5,19,5,30,8,3,0
12/12/2020,Bielefeld,4,5,1,0,2,2,2,25,9,37,9,5,0
16/12/2020,Bielefeld,3,5,1,0,2,2,1,29,9,44,13,5,0
19/12/2020,Bielefeld,2,4,1,0,2,2,0,28,8,43,7,4,0
02/01/2021,Bielefeld,1,3,1,0,2,0,0,25,6,46,11,6,0
10/01/2021,Bielefeld,1,2,1,0,2,0,0,27,5,41,10,8,0
16/01/2021,Bielefeld,2,1,2,0,1,0,0,27,5,35,17,8,0
20/01/2021,Bielefeld,1,1,1,1,1,0,0,27,4,37,14,4,0
23/01/2021,Bielefeld,4,0,2,1,0,1,0,29,7,38,13,3,0
31/01/2021,Bielefeld,4,5,1,1,1,2,3,25,9,44,5,4,0
15/02/2021,Bielefeld,5,8,1,0,2,2,5,26,10,40,7,4,0
19/02/2021,Bielefeld,5,11,0,1,2,3,5,24,10,44,7,4,0
27/02/2021,Bielefeld,4,9,0,1,2,2,3,23,8,40,10,2,0
