Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
19/09/2020,Dortmund,3,0,1,0,0,1,0,9,4,10,1,1,0
26/09/2020,Dortmund,0,2,0,0,1,0,1,16,7,8,11,4,0
03/10/2020,Dortmund,4,0,1,0,0,1,0,16,7,8,3,1,0
17/10/2020,Dortmund,7,2,2,0,1,2,1,41,18,26,15,6,0
24/10/2020,Dortmund,5,2,2,0,1,1,1,47,19,27,20,6,0
31/10/2020,Dortmund,8,0,3,0,0,1,0,48,19,24,16,2,0
07/11/2020,Dortmund,6,0,3,0,0,0,0,53,22,29,25,2,0
21/11/2020,Dortmund,7,3,2,0,1,1,1,53,22,33,23,3,0
28/11/2020,Dortmund,9,5,2,0,1,1,2,51,23,45,19,4,0
05/12/2020,Dortmund,8,7,1,0,2,1,3,44,17,43,13,4,0
12/12/2020,Dortmund,7,5,1,1,1,0,3,45,17,34,14,3,0
15/12/2020,Dortmund,3,8,0,1,2,1,3,42,13,28,19,4,0
18/12/2020,Dortmund,4,7,1,1,1,2,3,43,18,30,17,5,0
03/01/2021,Dortmund,4,8,1,0,2,2,2,43,17,31,18,5,0
09/01/2021,Dortmund,5,3,2,0,1,1,1,45,20,29,20,6,0
16/01/2021,Dortmund,6,3,2,0,1,0,0,45,18,28,19,6,0
19/01/2021,Dortmund,6,2,2,1,0,0,0,46,21,31,14,6,0
22/01/2021,Dortmund,5,4,1,1,1,0,1,47,17,30,9,5,0
30/01/2021,Dortmund,4,7,0,1,2,2,3,48,17,27,13,3,0
06/02/2021,Dortmund,6,7,1,0,2,3,4,45,15,29,22,2,0
13/02/2021,Dortmund,6,7,1,0,2,3,3,46,17,33,18,2,0
20/02/2021,Dortmund,6,5,1,1,1,2,2,36,13,45,12,5,0
27/02/2021,Dortmund,7,4,1,1,1,3,1,31,14,46,4,7,0
