Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
19/09/2020,Ein Frankfurt,1,1,0,1,0,0,0,18,6,14,14,2,0
25/09/2020,Ein Frankfurt,3,1,1,0,0,2,0,10,3,16,3,4,0
03/10/2020,Ein Frankfurt,2,1,1,0,0,0,1,16,6,12,5,2,0
18/10/2020,Ein Frankfurt,6,3,2,1,0,2,1,44,15,42,22,8,0
24/10/2020,Ein Frankfurt,6,3,2,1,0,3,1,42,13,46,16,8,0
31/10/2020,Ein Frankfurt,3,7,1,1,1,1,3,41,12,42,15,4,0
07/11/2020,Ein Frankfurt,2,7,0,2,1,1,2,39,11,42,15,3,0
21/11/2020,Ein Frankfurt,3,8,0,2,1,0,4,38,15,40,15,5,0
28/11/2020,Ein Frankfurt,4,4,0,3,0,1,2,37,16,46,18,8,0
05/12/2020,Ein Frankfurt,6,6,0,3,0,3,4,35,16,50,18,10,0
11/12/2020,Ein Frankfurt,5,5,0,3,0,4,2,29,9,48,16,12,0
15/12/2020,Ein Frankfurt,5,6,0,2,1,3,2,28,10,42,12,11,0
19/12/2020,Ein Frankfurt,5,6,0,2,1,4,1,27,9,44,11,14,1
02/01/2021,Ein Frankfurt,6,5,1,1,1,3,1,33,14,40,9,12,1
09/01/2021,Ein Frankfurt,7,4,2,1,0,4,2,36,14,37,10,10,1
17/01/2021,Ein Frankfurt,6,1,3,0,0,2,1,40,17,34,13,5,0
20/01/2021,Ein Frankfurt,7,2,3,0,0,3,2,45,22,32,17,1,0
23/01/2021,Ein Frankfurt,7,3,2,1,0,3,2,52,22,38,20,4,0
30/01/2021,Ein Frankfurt,10,4,2,1,0,5,3,52,23,45,21,5,0
07/02/2021,Ein Frankfurt,10,4,2,1,0,4,2,49,20,54,17,6,0
14/02/2021,Ein Frankfurt,11,3,3,0,0,4,1,41,21,51,19,6,0
20/02/2021,Ein Frankfurt,8,2,3,0,0,1,0,43,20,43,18,7,0
26/02/2021,Ein Frankfurt,7,2,3,0,0,3,0,38,18,38,20,8,0
