Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
19/09/2020,FC Koln,2,3,0,0,1,1,2,13,6,12,1,0,0
26/09/2020,FC Koln,0,1,0,0,1,0,0,12,2,15,7,3,0
03/10/2020,FC Koln,1,3,0,0,1,0,2,8,3,16,4,3,0
18/10/2020,FC Koln,3,7,0,0,3,1,4,33,11,43,12,6,0
23/10/2020,FC Koln,2,5,0,1,2,0,3,29,10,50,13,9,0
31/10/2020,FC Koln,3,5,0,2,1,1,4,31,12,48,11,11,0
06/11/2020,FC Koln,3,4,0,2,1,1,4,32,11,44,12,9,0
22/11/2020,FC Koln,3,4,0,2,1,1,3,31,7,45,13,8,0
28/11/2020,FC Koln,3,5,0,1,2,1,3,27,7,44,13,4,0
05/12/2020,FC Koln,4,4,1,1,1,2,1,25,10,42,10,5,0
12/12/2020,FC Koln,5,5,1,1,1,4,2,23,12,34,10,3,0
16/12/2020,FC Koln,5,3,2,1,0,3,1,22,14,33,8,6,1
19/12/2020,FC Koln,3,6,1,1,1,2,3,22,10,35,8,5,1
02/01/2021,FC Koln,1,4,1,1,1,0,2,20,8,31,7,5,1
09/01/2021,FC Koln,0,5,0,1,2,0,2,23,4,40,12,3,0
16/01/2021,FC Koln,0,6,0,1,2,0,2,21,5,38,13,2,0
20/01/2021,FC Koln,0,6,0,1,2,0,2,25,6,43,16,4,0
24/01/2021,FC Koln,2,6,1,1,1,1,2,25,8,34,16,3,0
31/01/2021,FC Koln,2,4,1,1,1,1,2,33,10,37,22,6,0
06/02/2021,FC Koln,5,5,2,0,1,3,2,39,15,39,20,6,0
14/02/2021,FC Koln,5,5,2,0,1,3,3,34,14,39,13,7,0
20/02/2021,FC Koln,5,4,2,0,1,3,1,27,11,30,6,5,0
27/02/2021,FC Koln,2,4,1,0,2,1,1,22,4,30,3,5,0
