Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
19/09/2020,Freiburg,3,2,1,0,0,2,0,7,6,16,2,2,0
27/09/2020,Freiburg,1,1,0,1,0,1,1,21,7,10,9,0,0
03/10/2020,Freiburg,0,4,0,0,1,0,1,6,2,12,2,1,0
17/10/2020,Freiburg,4,7,1,1,1,3,2,34,15,38,13,3,0
24/10/2020,Freiburg,2,6,0,2,1,2,3,46,13,32,15,4,0
01/11/2020,Freiburg,2,6,0,2,1,2,3,33,10,36,8,8,0
07/11/2020,Freiburg,4,6,0,2,1,3,4,35,13,34,10,9,0
22/11/2020,Freiburg,3,8,0,1,2,2,4,24,12,38,10,9,0
28/11/2020,Freiburg,3,10,0,0,3,1,6,35,14,30,17,5,0
05/12/2020,Freiburg,2,7,0,1,2,0,4,37,14,28,14,4,0
12/12/2020,Freiburg,4,6,0,2,1,1,4,51,18,26,15,2,0
16/12/2020,Freiburg,5,3,1,2,0,1,1,48,19,36,11,5,0
20/12/2020,Freiburg,6,2,2,1,0,1,1,49,19,37,13,5,0
02/01/2021,Freiburg,8,1,3,0,0,1,0,44,21,34,15,4,0
09/01/2021,Freiburg,9,2,3,0,0,4,0,35,18,40,13,3,0
17/01/2021,Freiburg,12,2,3,0,0,6,0,36,19,45,11,2,0
20/01/2021,Freiburg,9,3,2,0,1,5,1,27,13,50,7,4,0
23/01/2021,Freiburg,8,4,1,1,1,3,2,31,13,38,8,5,0
31/01/2021,Freiburg,5,5,1,1,1,3,3,28,11,44,10,7,0
06/02/2021,Freiburg,4,6,1,1,1,3,4,29,10,40,17,5,0
13/02/2021,Freiburg,4,5,2,0,1,2,3,24,9,42,14,3,0
20/02/2021,Freiburg,2,4,1,1,1,0,2,23,7,42,12,3,0
28/02/2021,Freiburg,2,2,1,1,1,0,0,23,6,47,4,5,0
