Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
19/09/2020,Hertha,4,1,1,0,0,2,0,13,6,17,4,0,0
25/09/2020,Hertha,1,3,0,0,1,0,2,12,6,13,4,3,0
04/10/2020,Hertha,3,4,0,0,1,0,1,9,5,19,1,3,0
17/10/2020,Hertha,8,8,1,0,2,2,3,34,17,49,9,6,0
24/10/2020,Hertha,4,9,0,0,3,0,4,37,15,46,11,8,0
01/11/2020,Hertha,4,8,0,0,3,1,3,36,12,53,10,9,1
07/11/2020,Hertha,2,5,0,1,2,2,3,45,12,42,17,9,1
21/11/2020,Hertha,5,3,1,1,1,3,2,41,14,38,17,7,1
29/11/2020,Hertha,6,6,1,1,1,3,1,39,14,30,18,4,0
04/12/2020,Hertha,5,5,1,1,1,2,0,26,12,41,11,2,0
12/12/2020,Hertha,5,6,1,1,1,1,1,24,13,46,14,3,0
15/12/2020,Hertha,4,2,1,2,0,0,1,24,13,52,12,4,0
20/12/2020,Hertha,4,2,1,2,0,0,1,28,10,50,16,6,0
02/01/2021,Hertha,2,5,0,2,1,0,1,28,6,51,10,5,0
10/01/2021,Hertha,4,4,1,1,1,1,1,39,13,44,17,5,0
16/01/2021,Hertha,4,5,1,0,2,1,1,40,19,45,15,3,0
19/01/2021,Hertha,3,1,1,1,1,1,0,44,19,48,16,6,0
23/01/2021,Hertha,0,4,0,1,2,0,1,37,11,53,10,5,0
30/01/2021,Hertha,1,7,0,1,2,1,3,45,15,51,14,6,0
05/02/2021,Hertha,2,10,0,0,3,1,3,42,16,46,17,7,0
13/02/2021,Hertha,2,8,0,0,3,1,3,40,21,42,17,8,0
21/02/2021,Hertha,2,5,0,1,2,0,2,33,14,43,15,8,0
27/02/2021,Hertha,1,5,0,1,2,0,3,30,14,39,11,5,0
