Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
19/09/2020,Hoffenheim,3,2,1,0,0,2,1,13,7,13,6,0,0
27/09/2020,Hoffenheim,4,1,1,0,0,2,1,17,8,15,3,3,0
03/10/2020,Hoffenheim,1,2,0,0,1,1,0,11,4,8,7,3,0
17/10/2020,Hoffenheim,8,5,2,0,1,5,2,41,19,36,16,6,0
25/10/2020,Hoffenheim,5,4,1,0,2,3,1,36,15,36,14,7,0
02/11/2020,Hoffenheim,2,4,0,1,2,2,1,34,13,41,15,6,0
08/11/2020,Hoffenheim,2,5,0,1,2,1,1,33,14,52,11,4,1
21/11/2020,Hoffenheim,3,6,0,1,2,1,3,42,16,53,14,6,1
29/11/2020,Hoffenheim,5,8,0,1,2,1,4,40,18,48,13,7,1
07/12/2020,Hoffenheim,5,6,0,2,1,1,5,39,18,39,15,6,1
13/12/2020,Hoffenheim,7,5,1,2,0,2,4,32,20,40,12,3,1
16/12/2020,Hoffenheim,5,6,1,1,1,1,4,30,16,38,14,6,3
19/12/2020,Hoffenheim,4,6,1,0,2,1,3,28,14,44,14,8,2
02/01/2021,Hoffenheim,3,6,1,0,2,0,3,32,12,51,13,11,2
09/01/2021,Hoffenheim,3,5,1,0,2,0,4,34,14,52,16,7,0
16/01/2021,Hoffenheim,3,8,1,0,2,0,5,45,16,49,15,9,0
19/01/2021,Hoffenheim,1,7,0,1,2,0,4,42,16,36,17,7,0
24/01/2021,Hoffenheim,3,4,1,1,1,1,1,40,16,38,11,6,0
30/01/2021,Hoffenheim,6,0,2,1,0,3,0,35,15,33,13,4,0
07/02/2021,Hoffenheim,7,4,2,0,1,4,2,39,15,32,12,3,0
13/02/2021,Hoffenheim,5,7,1,0,2,3,3,36,11,31,14,2,0
21/02/2021,Hoffenheim,4,9,0,1,2,2,4,35,13,39,15,7,0
28/02/2021,Hoffenheim,7,5,1,1,1,3,2,32,14,47,17,9,0
