Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
20/09/2020,Leverkusen,0,0,0,1,0,0,0,6,2,12,4,2,0
26/09/2020,Leverkusen,1,1,0,1,0,1,1,11,4,16,4,1,0
03/10/2020,Leverkusen,1,1,0,1,0,1,0,15,7,17,12,2,0
17/10/2020,Leverkusen,2,2,0,3,0,2,1,32,13,45,20,5,0
26/10/2020,Leverkusen,3,2,1,2,0,3,1,35,15,39,18,4,0
01/11/2020,Leverkusen,5,2,2,1,0,3,0,39,18,37,17,4,0
08/11/2020,Leverkusen,8,3,3,0,0,4,1,42,18,31,11,4,0
21/11/2020,Leverkusen,11,6,3,0,0,5,3,48,19,40,15,7,0
29/11/2020,Leverkusen,10,6,3,0,0,5,3,43,16,36,22,7,0
06/12/2020,Leverkusen,6,4,2,1,0,3,2,39,11,41,22,7,0
13/12/2020,Leverkusen,5,1,2,1,0,2,0,48,15,37,24,6,0
16/12/2020,Leverkusen,7,1,2,1,0,3,0,51,19,39,20,8,0
19/12/2020,Leverkusen,11,1,3,0,0,5,0,51,24,35,20,7,0
02/01/2021,Leverkusen,9,3,2,0,1,5,1,35,18,37,17,5,0
09/01/2021,Leverkusen,6,4,1,0,2,4,2,32,12,31,18,2,0
15/01/2021,Leverkusen,3,5,0,1,2,2,2,30,8,41,15,3,0
19/01/2021,Leverkusen,2,4,0,1,2,1,1,34,9,38,13,4,0
23/01/2021,Leverkusen,3,3,1,1,1,1,0,47,20,45,12,6,0
30/01/2021,Leverkusen,2,3,1,0,2,1,1,45,21,36,15,5,0
06/02/2021,Leverkusen,2,3,1,0,2,1,1,41,21,41,18,5,0
13/02/2021,Leverkusen,5,4,1,0,2,2,1,43,19,40,16,3,0
21/02/2021,Leverkusen,7,5,1,1,1,3,0,44,20,40,12,7,0
28/02/2021,Leverkusen,8,5,1,2,0,3,1,46,19,38,10,9,0
