Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
19/09/2020,M'gladbach,0,3,0,0,1,0,1,8,2,9,3,1,0
26/09/2020,M'gladbach,1,1,0,1,0,0,0,14,5,11,7,1,0
03/10/2020,M'gladbach,3,1,1,0,0,2,0,17,11,12,10,3,0
17/10/2020,M'gladbach,4,5,1,1,1,2,1,39,18,32,20,5,0
24/10/2020,M'gladbach,5,3,1,2,0,2,0,44,18,37,22,6,0
31/10/2020,M'gladbach,7,4,2,1,0,3,2,51,25,37,22,8,0
08/11/2020,M'gladbach,5,3,2,1,0,1,2,39,18,38,14,7,0
21/11/2020,M'gladbach,7,6,2,0,1,3,4,41,22,36,11,7,0
28/11/2020,M'gladbach,5,5,1,1,1,3,2,35,16,32,6,5,0
05/12/2020,M'gladbach,8,6,1,1,1,5,3,49,21,27,9,5,0
12/12/2020,M'gladbach,7,4,1,2,0,4,2,45,19,34,12,5,0
15/12/2020,M'gladbach,7,4,1,2,0,3,2,47,17,36,23,7,0
19/12/2020,M'gladbach,6,6,0,3,0,2,4,36,12,43,23,9,0
02/01/2021,M'gladbach,5,6,0,2,1,2,3,40,13,37,21,8,1
08/01/2021,M'gladbach,5,5,1,1,1,2,3,45,16,35,22,6,1
16/01/2021,M'gladbach,5,4,2,0,1,3,2,45,16,29,20,3,1
19/01/2021,M'gladbach,6,4,2,1,0,3,2,38,16,36,19,5,0
22/01/2021,M'gladbach,6,4,2,1,0,3,2,27,15,44,12,6,0
30/01/2021,M'gladbach,7,4,2,1,0,3,2,29,18,44,12,6,0
06/02/2021,M'gladbach,6,3,2,1,0,2,3,33,17,37,19,6,0
14/02/2021,M'gladbach,6,5,1,1,1,3,4,32,13,39,16,8,0
20/02/2021,M'gladbach,2,3,0,2,1,1,2,34,10,41,19,10,0
27/02/2021,M'gladbach,2,4,0,1,2,2,2,34,9,38,14,8,0
