Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
20/09/2020,Mainz,1,3,0,0,1,0,2,8,1,11,5,2,0
26/09/2020,Mainz,1,4,0,0,1,1,1,11,3,10,3,2,1
02/10/2020,Mainz,0,4,0,0,1,0,1,5,0,11,2,4,0
17/10/2020,Mainz,2,11,0,0,3,1,4,24,4,32,10,8,1
24/10/2020,Mainz,1,9,0,0,3,1,3,21,3,33,11,9,1
31/10/2020,Mainz,2,8,0,0,3,2,3,25,7,41,11,12,0
07/11/2020,Mainz,3,7,0,0,3,2,3,28,11,40,10,9,0
22/11/2020,Mainz,5,8,0,1,2,4,3,37,18,47,8,7,0
29/11/2020,Mainz,6,6,1,1,1,5,2,44,19,41,9,3,0
05/12/2020,Mainz,6,4,1,2,0,6,1,46,19,47,19,2,0
12/12/2020,Mainz,5,4,1,1,1,4,2,47,17,46,18,3,0
15/12/2020,Mainz,2,4,0,1,2,1,2,40,13,49,19,6,0
19/12/2020,Mainz,1,3,0,1,2,0,2,35,9,44,12,7,0
03/01/2021,Mainz,0,2,0,1,2,0,0,29,5,41,11,7,0
09/01/2021,Mainz,2,6,0,1,2,2,0,26,8,35,8,4,0
16/01/2021,Mainz,2,8,0,0,3,2,1,29,8,41,7,5,0
19/01/2021,Mainz,3,8,0,1,2,2,1,28,10,45,7,5,0
23/01/2021,Mainz,1,5,0,1,2,0,1,24,3,53,7,5,0
29/01/2021,Mainz,4,5,1,1,1,2,2,26,7,49,7,5,0
06/02/2021,Mainz,3,6,1,0,2,2,2,28,6,50,9,7,0
13/02/2021,Mainz,4,4,2,0,1,3,2,29,11,45,10,8,0
20/02/2021,Mainz,3,4,1,1,1,1,1,38,13,49,9,7,0
28/02/2021,Mainz,5,3,2,1,0,2,2,36,17,45,9,4,0
