Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
20/09/2020,RB Leipzig,3,1,1,0,0,2,0,23,10,5,7,1,0
26/09/2020,RB Leipzig,1,1,0,1,0,1,1,7,2,10,1,3,0
03/10/2020,RB Leipzig,4,0,1,0,0,3,0,21,7,13,8,1,0
17/10/2020,RB Leipzig,8,2,2,1,0,6,1,51,19,28,16,5,0
24/10/2020,RB Leipzig,7,1,2,1,0,5,1,43,15,36,17,5,0
31/10/2020,RB Leipzig,8,1,3,0,0,5,1,65,21,36,23,3,0
07/11/2020,RB Leipzig,4,2,2,0,1,2,1,59,17,40,19,6,0
21/11/2020,RB Leipzig,5,2,2,0,1,2,1,59,18,41,14,7,0
28/11/2020,RB Leipzig,4,2,1,1,1,1,1,40,13,43,13,8,0
05/12/2020,RB Leipzig,6,2,2,1,0,2,1,40,17,39,15,6,0
12/12/2020,RB Leipzig,6,5,1,2,0,3,3,33,14,33,14,5,0
16/12/2020,RB Leipzig,7,4,2,1,0,5,2,38,18,38,9,6,0
19/12/2020,RB Leipzig,6,3,2,1,0,4,2,27,14,39,8,4,0
02/01/2021,RB Leipzig,3,0,2,1,0,2,0,33,16,42,14,4,0
09/01/2021,RB Leipzig,2,0,2,1,0,0,0,40,18,35,19,2,0
16/01/2021,RB Leipzig,2,3,1,1,1,0,0,48,19,29,17,2,0
20/01/2021,RB Leipzig,4,5,1,1,1,1,2,47,22,27,15,4,0
23/01/2021,RB Leipzig,4,5,1,1,1,1,2,40,18,23,14,4,0
30/01/2021,RB Leipzig,5,5,1,1,1,3,4,40,19,31,20,8,0
06/02/2021,RB Leipzig,4,3,2,0,1,2,2,43,12,33,20,7,0
12/02/2021,RB Leipzig,6,3,2,0,1,3,2,52,17,43,22,7,0
21/02/2021,RB Leipzig,6,1,3,0,0,3,0,56,18,50,16,6,0
27/02/2021,RB Leipzig,8,1,3,0,0,4,0,54,23,47,14,5,0
