Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
18/09/2020,Schalke 04,0,8,0,0,1,0,3,5,1,12,2,2,0
26/09/2020,Schalke 04,1,3,0,0,1,0,2,17,4,20,8,7,1
03/10/2020,Schalke 04,0,4,0,0,1,0,3,4,1,10,1,3,0
18/10/2020,Schalke 04,1,15,0,0,3,0,8,26,6,42,11,12,1
24/10/2020,Schalke 04,2,8,0,1,2,0,5,29,9,37,14,13,1
30/10/2020,Schalke 04,1,8,0,1,2,0,3,15,5,32,8,7,0
07/11/2020,Schalke 04,2,5,0,2,1,1,0,20,6,33,10,6,0
21/11/2020,Schalke 04,3,6,0,2,1,2,2,34,5,39,14,4,0
28/11/2020,Schalke 04,3,5,0,2,1,2,4,44,11,36,18,3,0
06/12/2020,Schalke 04,3,8,0,1,2,2,6,48,11,39,19,4,0
13/12/2020,Schalke 04,1,9,0,0,3,1,5,39,12,43,12,5,0
16/12/2020,Schalke 04,3,9,0,1,2,1,4,41,10,44,9,9,0
19/12/2020,Schalke 04,2,7,0,1,2,0,2,38,10,45,7,8,0
02/01/2021,Schalke 04,2,5,0,1,2,0,1,36,11,45,6,12,0
09/01/2021,Schalke 04,0,6,0,0,3,0,1,31,11,50,8,10,0
17/01/2021,Schalke 04,4,4,1,0,2,1,1,33,14,49,11,10,0
20/01/2021,Schalke 04,5,6,1,0,2,2,2,27,10,42,12,5,0
24/01/2021,Schalke 04,6,5,1,0,2,2,2,32,14,31,12,5,0
30/01/2021,Schalke 04,2,9,0,0,3,1,3,34,13,22,10,4,0
06/02/2021,Schalke 04,2,7,0,1,2,1,2,35,13,32,9,7,0
13/02/2021,Schalke 04,1,8,0,1,2,1,2,23,6,39,5,7,0
20/02/2021,Schalke 04,1,4,0,2,1,1,1,15,3,49,8,8,0
27/02/2021,Schalke 04,0,7,0,1,2,0,3,22,4,38,11,6,0
