Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
19/09/2020,Stuttgart,2,3,0,0,1,0,2,22,7,12,7,2,0
26/09/2020,Stuttgart,4,1,1,0,0,1,1,15,7,17,9,4,1
03/10/2020,Stuttgart,1,1,0,1,0,0,1,11,2,8,7,3,0
17/10/2020,Stuttgart,7,5,1,1,1,1,4,48,16,37,23,9,1
23/10/2020,Stuttgart,7,2,2,1,0,2,2,33,11,35,20,9,1
30/10/2020,Stuttgart,4,2,1,2,0,2,2,27,8,29,14,7,0
07/11/2020,Stuttgart,4,2,1,2,0,2,2,35,11,35,11,6,0
21/11/2020,Stuttgart,4,4,0,3,0,3,2,44,14,39,17,6,0
28/11/2020,Stuttgart,6,6,0,3,0,4,2,55,19,46,18,6,0
06/12/2020,Stuttgart,6,8,0,2,1,5,3,51,18,43,18,4,0
12/12/2020,Stuttgart,6,7,1,1,1,4,3,46,20,44,12,6,0
15/12/2020,Stuttgart,8,5,2,0,1,3,3,44,21,39,10,7,0
20/12/2020,Stuttgart,9,4,2,1,0,2,2,42,23,43,8,10,0
02/01/2021,Stuttgart,7,4,1,1,1,1,2,40,17,35,10,9,0
10/01/2021,Stuttgart,2,4,0,1,2,0,1,32,8,32,11,8,0
16/01/2021,Stuttgart,4,3,1,0,2,2,0,46,13,29,20,7,0
20/01/2021,Stuttgart,6,4,1,1,1,2,1,56,19,33,19,6,0
23/01/2021,Stuttgart,6,6,1,1,1,2,2,57,21,32,22,4,0
29/01/2021,Stuttgart,3,7,0,1,2,1,4,57,21,32,16,2,0
06/02/2021,Stuttgart,3,5,1,0,2,1,3,47,17,30,13,1,0
13/02/2021,Stuttgart,5,7,1,0,2,1,4,50,21,30,11,1,0
20/02/2021,Stuttgart,5,6,1,1,1,1,2,34,13,39,7,3,0
27/02/2021,Stuttgart,4,6,1,1,1,1,2,34,13,40,11,3,0
