Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
19/09/2020,Union Berlin,1,3,0,0,1,0,1,13,3,9,8,2,0
26/09/2020,Union Berlin,1,1,0,1,0,0,0,15,2,15,5,2,0
02/10/2020,Union Berlin,4,0,1,0,0,1,0,13,7,13,4,1,0
18/10/2020,Union Berlin,6,4,1,1,1,1,1,41,12,37,17,5,0
24/10/2020,Union Berlin,6,2,1,2,0,1,0,41,16,41,16,4,0
02/11/2020,Union Berlin,6,2,1,2,0,2,1,48,21,35,15,3,0
07/11/2020,Union Berlin,5,3,1,2,0,1,1,44,20,35,17,4,0
22/11/2020,Union Berlin,9,2,2,1,0,4,1,40,21,39,15,3,0
28/11/2020,Union Berlin,10,2,3,0,0,4,1,28,17,45,15,4,0
04/12/2020,Union Berlin,10,4,2,1,0,6,3,34,18,44,13,4,0
12/12/2020,Union Berlin,6,7,1,1,1,4,3,29,11,36,10,7,1
15/12/2020,Union Berlin,5,7,0,2,1,4,2,32,14,38,10,8,1
18/12/2020,Union Berlin,4,6,0,2,1,3,0,32,13,40,9,9,1
02/01/2021,Union Berlin,5,4,1,2,0,2,0,40,17,40,15,7,0
09/01/2021,Union Berlin,6,3,2,1,0,3,0,36,13,37,16,8,0
15/01/2021,Union Berlin,6,3,2,1,0,3,1,34,13,39,18,8,0
20/01/2021,Union Berlin,5,2,2,1,0,3,1,32,10,39,12,8,0
23/01/2021,Union Berlin,3,3,1,1,1,1,1,27,9,36,8,5,0
30/01/2021,Union Berlin,2,3,1,0,2,1,1,23,8,41,6,3,0
06/02/2021,Union Berlin,2,4,0,1,2,2,1,26,9,44,6,3,0
13/02/2021,Union Berlin,2,4,0,1,2,2,2,32,11,44,6,7,1
20/02/2021,Union Berlin,1,2,0,2,1,1,1,42,9,37,4,9,1
28/02/2021,Union Berlin,1,1,1,1,1,0,1,44,10,39,6,10,1
