Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
19/09/2020,Werder Bremen,1,4,0,0,1,0,2,17,7,13,7,2,0
26/09/2020,Werder Bremen,3,1,1,0,0,2,0,17,8,14,3,2,0
03/10/2020,Werder Bremen,1,0,1,0,0,1,0,7,2,12,2,2,0
17/10/2020,Werder Bremen,5,5,2,0,1,3,2,41,17,39,12,6,0
25/10/2020,Werder Bremen,5,2,2,1,0,4,1,38,14,40,9,7,0
31/10/2020,Werder Bremen,3,2,1,2,0,3,2,26,8,36,7,7,0
06/11/2020,Werder Bremen,3,3,0,3,0,2,2,28,10,38,8,8,0
21/11/2020,Werder Bremen,3,3,0,3,0,1,1,32,10,44,5,7,0
27/11/2020,Werder Bremen,3,3,0,3,0,1,0,36,12,44,7,8,0
06/12/2020,Werder Bremen,5,7,0,2,1,3,3,32,12,42,9,8,1
12/12/2020,Werder Bremen,5,8,0,1,2,3,4,28,12,32,10,10,1
15/12/2020,Werder Bremen,4,9,0,0,3,2,6,26,10,34,13,8,1
19/12/2020,Werder Bremen,2,6,0,0,3,1,4,28,9,32,12,8,0
02/01/2021,Werder Bremen,2,4,1,0,2,1,3,27,12,33,15,6,0
09/01/2021,Werder Bremen,2,4,1,0,2,1,3,30,12,36,15,7,0
16/01/2021,Werder Bremen,2,3,1,1,1,0,2,26,10,39,12,6,0
19/01/2021,Werder Bremen,3,3,1,1,1,0,2,23,8,38,11,4,0
23/01/2021,Werder Bremen,3,2,1,1,1,0,0,24,8,34,10,4,0
30/01/2021,Werder Bremen,6,2,2,0,1,2,1,28,12,33,10,5,0
13/02/2021,Werder Bremen,5,3,1,1,1,2,2,33,13,34,12,5,0
21/02/2021,Werder Bremen,5,2,1,2,0,2,2,34,15,27,11,3,0
26/02/2021,Werder Bremen,1,5,0,2,1,0,3,30,11,27,13,2,0
