Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
20/09/2020,Wolfsburg,0,0,0,1,0,0,0,9,1,13,4,1,0
27/09/2020,Wolfsburg,1,1,0,1,0,1,1,8,2,13,1,3,0
04/10/2020,Wolfsburg,0,0,0,1,0,0,0,17,6,7,12,0,0
17/10/2020,Wolfsburg,1,1,0,3,0,1,1,34,9,33,17,4,0
25/10/2020,Wolfsburg,2,2,0,3,0,1,1,39,13,33,17,5,0
01/11/2020,Wolfsburg,3,2,1,2,0,2,0,45,15,32,20,4,0
08/11/2020,Wolfsburg,4,3,1,2,0,3,1,39,13,40,14,5,0
21/11/2020,Wolfsburg,5,3,2,1,0,5,1,39,16,42,13,4,0
27/11/2020,Wolfsburg,5,2,2,1,0,5,1,44,20,41,13,3,0
05/12/2020,Wolfsburg,9,4,3,0,0,7,2,45,22,38,7,4,0
11/12/2020,Wolfsburg,9,5,2,1,0,6,4,47,20,34,12,4,0
16/12/2020,Wolfsburg,9,6,2,1,0,4,4,44,20,33,16,8,0
20/12/2020,Wolfsburg,5,5,1,1,1,2,3,49,21,37,23,7,0
03/01/2021,Wolfsburg,4,3,2,0,1,1,1,46,19,41,19,8,0
09/01/2021,Wolfsburg,2,4,1,0,2,1,1,52,16,43,16,4,0
16/01/2021,Wolfsburg,3,4,1,1,1,1,1,46,14,40,12,4,1
19/01/2021,Wolfsburg,4,6,0,2,1,3,2,41,12,41,14,6,1
23/01/2021,Wolfsburg,6,4,1,2,0,3,2,27,9,44,14,7,1
31/01/2021,Wolfsburg,5,2,2,1,0,3,1,24,8,38,13,7,0
06/02/2021,Wolfsburg,6,0,3,0,0,3,0,28,12,35,12,3,0
14/02/2021,Wolfsburg,6,0,3,0,0,4,0,37,19,35,11,1,0
19/02/2021,Wolfsburg,5,0,2,1,0,3,0,47,21,38,18,1,0
27/02/2021,Wolfsburg,5,0,2,1,0,2,0,46,21,39,21,3,0
