Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
26/09/2020,Atalanta,4,2,1,0,0,3,2,12,7,12,6,2,0
30/09/2020,Atalanta,4,1,1,0,0,3,0,8,6,11,3,2,0
04/10/2020,Atalanta,5,2,1,0,0,4,1,19,14,11,3,0,0
17/10/2020,Atalanta,13,5,3,0,0,10,3,39,27,34,12,4,0
24/10/2020,Atalanta,10,7,2,0,1,7,5,38,23,45,8,5,0
31/10/2020,Atalanta,7,9,1,0,2,4,6,40,22,45,8,6,0
08/11/2020,Atalanta,4,8,1,0,2,2,6,37,15,56,8,9,0
21/11/2020,Atalanta,4,5,1,1,1,2,2,35,16,48,8,7,0
28/11/2020,Atalanta,3,2,1,2,0,2,1,34,16,55,7,7,0
13/12/2020,Atalanta,1,3,0,2,1,0,0,33,15,45,8,6,0
16/12/2020,Atalanta,3,2,1,1,1,1,0,38,21,47,17,6,0
20/12/2020,Atalanta,4,3,1,1,1,1,1,40,22,47,21,5,0
23/12/2020,Atalanta,8,2,2,1,0,1,2,34,24,50,19,5,0
03/01/2021,Atalanta,7,4,1,2,0,2,2,29,20,47,13,6,0
06/01/2021,Atalanta,11,4,2,1,0,4,1,38,22,42,15,7,0
09/01/2021,Atalanta,10,3,2,1,0,5,0,46,20,37,25,6,0
17/01/2021,Atalanta,12,2,3,0,0,4,0,63,29,44,31,6,0
20/01/2021,Atalanta,7,1,2,1,0,2,0,58,25,46,32,4,0
23/01/2021,Atalanta,5,2,1,2,0,2,1,59,27,62,27,5,0
31/01/2021,Atalanta,4,1,1,2,0,2,1,52,22,55,23,4,0
06/02/2021,Atalanta,5,4,1,1,1,2,2,45,22,52,16,3,0
14/02/2021,Atalanta,7,6,1,1,1,4,3,36,18,50,13,4,0
21/02/2021,Atalanta,5,6,1,1,1,3,3,27,13,50,12,6,0
28/02/2021,Atalanta,8,5,2,1,0,3,2,34,16,58,16,8,0
03/03/2021,Atalanta,7,2,3,0,0,1,0,45,23,51,18,8,0
