Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
26/09/2020,Benevento,3,2,1,0,0,1,2,11,6,12,4,1,0
30/09/2020,Benevento,2,5,0,0,1,1,4,11,7,10,5,1,0
04/10/2020,Benevento,1,0,1,0,0,0,0,6,3,13,4,2,0
18/10/2020,Benevento,6,7,2,0,1,2,6,28,16,35,13,4,0
25/10/2020,Benevento,5,10,1,0,2,2,6,25,14,30,13,5,0
02/11/2020,Benevento,4,7,1,0,2,2,2,20,10,38,11,7,0
07/11/2020,Benevento,4,10,0,0,3,2,3,24,12,39,12,9,1
22/11/2020,Benevento,2,8,0,0,3,1,2,20,11,45,10,10,1
28/11/2020,Benevento,2,6,1,0,2,0,2,24,12,43,11,10,1
06/12/2020,Benevento,2,4,1,1,1,1,2,22,12,42,11,12,0
11/12/2020,Benevento,2,1,1,2,0,1,1,24,13,41,12,13,0
15/12/2020,Benevento,1,2,0,2,1,1,2,31,16,39,18,14,0
20/12/2020,Benevento,1,2,0,2,1,1,2,30,17,41,17,10,1
23/12/2020,Benevento,3,2,1,1,1,1,2,34,16,38,20,7,1
03/01/2021,Benevento,5,1,2,1,0,2,1,20,11,33,11,5,1
06/01/2021,Benevento,4,2,2,0,1,1,1,27,12,27,19,4,0
09/01/2021,Benevento,4,3,2,0,1,3,2,26,12,30,19,6,0
17/01/2021,Benevento,3,7,1,0,2,2,3,27,12,34,19,7,0
22/01/2021,Benevento,4,9,1,0,2,2,4,27,11,39,20,9,1
30/01/2021,Benevento,4,10,0,1,2,1,3,28,11,45,20,7,1
07/02/2021,Benevento,3,10,0,1,2,1,3,24,9,46,22,6,1
12/02/2021,Benevento,3,7,0,2,1,1,1,19,6,49,11,7,0
21/02/2021,Benevento,2,6,0,2,1,0,2,22,11,41,8,8,0
28/02/2021,Benevento,2,2,0,3,0,0,1,28,14,38,6,10,1
03/03/2021,Benevento,1,3,0,2,1,0,2,23,15,36,6,8,1
