Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
21/09/2020,Bologna,0,2,0,0,1,0,1,6,5,17,4,5,1
28/09/2020,Bologna,4,1,1,0,0,2,0,11,8,12,8,1,0
04/10/2020,Bologna,0,1,0,0,1,0,0,13,7,15,10,1,0
18/10/2020,Bologna,4,4,1,0,2,2,1,30,20,44,22,7,1
24/10/2020,Bologna,7,6,1,0,2,4,1,35,22,47,25,4,0
31/10/2020,Bologna,4,7,0,0,3,2,1,40,20,50,26,6,0
08/11/2020,Bologna,7,8,1,0,2,3,2,43,24,47,23,8,0
22/11/2020,Bologna,4,5,1,0,2,1,2,38,21,39,20,9,0
29/11/2020,Bologna,5,4,2,0,1,2,3,29,20,33,21,8,0
05/12/2020,Bologna,3,2,2,0,1,2,2,24,16,36,24,7,0
13/12/2020,Bologna,4,4,2,0,1,2,3,27,19,37,23,6,0
16/12/2020,Bologna,3,8,1,0,2,2,7,24,15,44,14,8,0
20/12/2020,Bologna,4,10,0,1,2,1,8,22,14,40,8,7,0
23/12/2020,Bologna,4,8,0,2,1,1,6,27,16,44,13,8,0
03/01/2021,Bologna,5,5,0,3,0,0,3,31,20,39,13,6,0
06/01/2021,Bologna,3,3,0,3,0,0,2,27,18,39,14,8,0
09/01/2021,Bologna,4,4,0,3,0,2,3,23,16,38,10,9,1
16/01/2021,Bologna,2,4,0,2,1,2,2,27,15,36,13,7,1
24/01/2021,Bologna,3,4,1,1,1,3,2,40,17,40,15,6,1
30/01/2021,Bologna,1,4,1,0,2,1,2,42,13,41,17,4,0
07/02/2021,Bologna,2,4,1,0,2,1,2,40,14,45,19,6,0
12/02/2021,Bologna,4,4,1,0,2,2,2,37,15,43,13,5,0
20/02/2021,Bologna,5,3,1,1,1,3,1,36,15,43,15,6,0
27/02/2021,Bologna,5,2,1,2,0,4,0,30,12,38,15,4,1
03/03/2021,Bologna,4,2,1,2,0,3,0,29,13,34,18,4,1
