Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
20/09/2020,Cagliari,1,1,0,1,0,0,0,8,4,18,3,3,0
26/09/2020,Cagliari,0,2,0,0,1,0,1,9,3,8,3,1,0
04/10/2020,Cagliari,2,5,0,0,1,1,4,7,3,9,9,0,0
18/10/2020,Cagliari,3,8,0,1,2,1,5,24,10,35,15,4,0
25/10/2020,Cagliari,5,9,1,0,2,3,6,25,13,33,16,4,0
31/10/2020,Cagliari,9,9,2,0,1,6,7,31,18,38,18,5,0
07/11/2020,Cagliari,9,7,2,0,1,6,4,30,19,48,12,8,0
21/11/2020,Cagliari,8,5,2,0,1,4,3,34,19,44,10,5,0
29/11/2020,Cagliari,4,5,1,0,2,1,3,21,11,38,6,5,0
06/12/2020,Cagliari,4,4,1,1,1,0,3,24,11,35,7,2,0
13/12/2020,Cagliari,3,5,0,2,1,0,4,20,9,37,10,2,0
16/12/2020,Cagliari,4,6,0,2,1,1,2,25,11,40,12,2,0
20/12/2020,Cagliari,2,4,0,2,1,1,1,21,11,35,13,3,0
23/12/2020,Cagliari,2,4,0,2,1,2,0,19,9,34,13,5,0
03/01/2021,Cagliari,3,4,0,2,1,1,1,18,10,41,10,5,0
06/01/2021,Cagliari,4,8,0,1,2,1,2,19,7,41,8,8,1
10/01/2021,Cagliari,4,9,0,0,3,1,4,22,9,46,10,10,2
18/01/2021,Cagliari,2,7,0,0,3,1,3,25,9,43,15,11,2
24/01/2021,Cagliari,1,5,0,0,3,1,3,36,10,41,19,9,1
31/01/2021,Cagliari,0,4,0,0,3,0,2,39,12,29,19,7,0
07/02/2021,Cagliari,1,4,0,1,2,0,2,39,15,25,17,6,0
14/02/2021,Cagliari,1,3,0,1,2,0,1,29,16,30,12,6,0
19/02/2021,Cagliari,1,3,0,1,2,0,0,20,10,41,11,7,0
28/02/2021,Cagliari,0,3,0,0,3,0,0,29,7,51,16,8,0
03/03/2021,Cagliari,2,2,1,0,2,0,0,31,8,51,18,10,1
