Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
20/09/2020,Crotone,1,4,0,0,1,1,3,11,5,14,4,2,0
27/09/2020,Crotone,0,2,0,0,1,0,1,5,1,14,2,1,0
03/10/2020,Crotone,1,4,0,0,1,0,1,10,6,15,4,3,0
17/10/2020,Crotone,2,10,0,0,3,1,5,26,12,43,10,6,0
25/10/2020,Crotone,2,7,0,1,2,1,3,24,10,46,9,7,0
31/10/2020,Crotone,4,9,0,1,2,3,5,30,15,45,8,10,1
08/11/2020,Crotone,4,7,0,1,2,4,6,24,11,41,5,8,1
21/11/2020,Crotone,3,6,0,1,2,3,5,22,10,40,5,9,2
29/11/2020,Crotone,1,4,0,1,2,1,3,23,10,38,6,8,1
06/12/2020,Crotone,0,3,0,1,2,0,2,24,9,45,8,11,1
12/12/2020,Crotone,0,7,0,0,3,0,3,21,8,43,9,10,1
15/12/2020,Crotone,4,6,1,0,2,1,3,16,9,48,8,10,1
19/12/2020,Crotone,4,5,1,1,1,1,2,15,10,47,6,10,1
22/12/2020,Crotone,5,4,1,1,1,2,3,16,12,48,3,9,0
03/01/2021,Crotone,3,4,1,1,1,3,2,19,11,48,5,10,0
06/01/2021,Crotone,5,10,1,0,2,5,4,22,13,38,7,9,0
10/01/2021,Crotone,5,10,1,0,2,4,5,29,15,38,9,9,0
17/01/2021,Crotone,4,11,0,0,3,2,7,26,12,38,10,8,0
23/01/2021,Crotone,6,6,1,0,2,2,5,25,11,45,11,6,0
31/01/2021,Crotone,6,5,1,0,2,2,4,20,9,47,11,6,0
07/02/2021,Crotone,5,6,1,0,2,2,4,22,10,46,10,6,0
14/02/2021,Crotone,1,9,0,0,3,0,5,25,9,41,12,6,0
22/02/2021,Crotone,1,9,0,0,3,1,4,27,12,39,16,5,0
28/02/2021,Crotone,1,9,0,0,3,1,4,34,11,33,16,3,0
03/03/2021,Crotone,1,7,0,0,3,1,3,36,13,41,17,4,0
