Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
19/09/2020,Fiorentina,1,0,1,0,0,0,0,17,8,17,4,3,0
26/09/2020,Fiorentina,3,4,0,0,1,1,1,8,4,10,1,1,0
02/10/2020,Fiorentina,1,2,0,0,1,0,1,16,6,11,8,0,0
18/10/2020,Fiorentina,5,6,1,0,2,1,2,41,18,38,13,4,0
25/10/2020,Fiorentina,6,8,0,1,2,3,3,31,16,39,14,3,0
01/11/2020,Fiorentina,6,6,1,1,1,4,3,27,15,45,15,3,0
07/11/2020,Fiorentina,5,6,1,1,1,4,3,14,10,50,11,5,1
22/11/2020,Fiorentina,3,4,1,1,1,2,2,13,8,49,9,5,1
29/11/2020,Fiorentina,0,3,0,1,2,0,1,14,8,47,11,6,1
07/12/2020,Fiorentina,0,3,0,1,2,0,2,16,10,46,13,8,0
13/12/2020,Fiorentina,1,4,0,1,2,0,2,26,14,36,15,8,0
16/12/2020,Fiorentina,1,6,0,1,2,0,3,24,13,35,13,8,0
19/12/2020,Fiorentina,2,5,0,2,1,1,2,31,17,39,11,8,0
22/12/2020,Fiorentina,2,5,0,2,1,2,3,20,10,42,10,8,0
03/01/2021,Fiorentina,5,2,1,2,0,3,2,26,14,47,13,10,0
06/01/2021,Fiorentina,4,1,1,2,0,2,1,24,8,36,17,10,0
10/01/2021,Fiorentina,4,2,1,1,1,1,1,28,15,37,22,9,0
17/01/2021,Fiorentina,2,2,1,1,1,0,1,31,14,34,26,6,0
23/01/2021,Fiorentina,2,8,1,0,2,0,5,31,16,41,22,2,0
29/01/2021,Fiorentina,3,7,2,0,1,2,4,34,14,41,18,3,0
05/02/2021,Fiorentina,3,8,1,1,1,2,4,31,12,41,11,4,2
14/02/2021,Fiorentina,3,4,1,1,1,2,1,36,12,35,14,7,2
19/02/2021,Fiorentina,2,5,0,1,2,1,2,39,13,35,16,8,2
28/02/2021,Fiorentina,4,4,1,0,2,1,2,40,15,40,14,10,0
03/03/2021,Fiorentina,4,3,1,0,2,1,1,33,14,51,16,9,0
