Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
20/09/2020,Genoa,4,1,1,0,0,3,1,10,8,13,6,4,0
27/09/2020,Genoa,0,6,0,0,1,0,1,3,1,13,2,2,0
19/10/2020,Genoa,0,0,0,1,0,0,0,5,2,15,2,4,0
24/10/2020,Genoa,4,7,1,1,1,3,2,18,11,41,10,10,0
01/11/2020,Genoa,0,8,0,1,2,0,1,9,3,39,5,7,0
04/11/2020,Genoa,1,3,0,2,1,1,1,13,6,37,7,6,0
08/11/2020,Genoa,2,5,0,1,2,1,3,17,8,32,10,4,0
22/11/2020,Genoa,3,6,0,1,2,1,4,23,13,31,10,4,0
30/11/2020,Genoa,2,6,0,0,3,0,4,21,10,35,14,6,1
07/12/2020,Genoa,2,6,0,0,3,0,3,24,11,37,11,6,1
13/12/2020,Genoa,2,4,0,1,2,0,2,20,9,47,11,7,1
16/12/2020,Genoa,3,6,0,1,2,0,1,17,10,45,3,7,0
20/12/2020,Genoa,4,6,0,2,1,0,0,11,9,50,5,7,0
23/12/2020,Genoa,3,7,0,1,2,0,0,14,8,52,9,8,0
03/01/2021,Genoa,4,5,1,1,1,1,1,19,12,58,11,9,0
06/01/2021,Genoa,3,4,1,1,1,1,2,18,11,51,11,9,0
09/01/2021,Genoa,4,4,1,1,1,1,2,19,12,39,8,9,0
17/01/2021,Genoa,4,3,1,1,1,1,1,21,13,31,7,7,0
24/01/2021,Genoa,3,2,1,1,1,1,0,22,13,34,4,7,0
31/01/2021,Genoa,3,0,2,1,0,2,0,23,16,35,6,5,0
06/02/2021,Genoa,4,0,2,1,0,3,0,24,15,46,16,4,0
13/02/2021,Genoa,6,1,3,0,0,5,0,22,14,46,16,4,0
20/02/2021,Genoa,5,1,2,1,0,4,0,20,11,50,17,7,0
28/02/2021,Genoa,4,3,1,2,0,2,1,22,9,39,11,7,0
03/03/2021,Genoa,2,5,0,2,1,0,2,21,9,34,11,7,0
