Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
26/09/2020,Inter,4,3,1,0,0,1,1,12,6,15,5,1,0
30/09/2020,Inter,5,2,1,0,0,4,1,18,12,15,1,0,0
04/10/2020,Inter,1,1,0,1,0,1,0,10,4,13,8,4,1
17/10/2020,Inter,10,6,2,1,0,6,2,40,22,43,14,5,1
24/10/2020,Inter,7,5,1,1,1,6,3,40,22,46,12,7,1
31/10/2020,Inter,4,3,1,1,1,2,2,32,16,48,20,8,1
08/11/2020,Inter,5,4,1,1,1,1,2,40,21,48,27,5,0
22/11/2020,Inter,5,3,1,2,0,0,0,38,18,43,29,5,0
28/11/2020,Inter,7,5,1,2,0,0,1,37,19,46,21,7,0
05/12/2020,Inter,8,3,2,1,0,2,1,28,14,49,8,7,0
13/12/2020,Inter,10,3,3,0,0,4,1,29,20,48,10,5,0
16/12/2020,Inter,9,2,3,0,0,4,1,40,24,45,18,3,0
20/12/2020,Inter,7,2,3,0,0,2,1,34,22,45,20,7,0
23/12/2020,Inter,6,2,3,0,0,0,1,33,17,43,16,7,0
03/01/2021,Inter,5,2,3,0,0,0,0,22,11,45,15,8,0
06/01/2021,Inter,10,4,3,0,0,2,2,32,17,38,14,3,0
10/01/2021,Inter,9,5,2,0,1,2,4,45,24,46,21,6,0
17/01/2021,Inter,9,6,1,1,1,2,5,52,25,38,20,7,0
23/01/2021,Inter,5,4,1,1,1,1,3,55,23,37,20,9,0
30/01/2021,Inter,4,2,1,2,0,1,1,42,16,35,14,7,0
05/02/2021,Inter,6,0,2,1,0,2,0,39,18,33,14,4,0
14/02/2021,Inter,6,0,2,1,0,2,0,37,19,35,18,3,0
21/02/2021,Inter,9,1,3,0,0,4,0,38,22,26,18,3,0
28/02/2021,Inter,8,1,3,0,0,4,0,41,22,27,18,4,0
