Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
20/09/2020,Juventus,3,0,1,0,0,1,0,14,9,15,6,1,0
27/09/2020,Juventus,2,2,0,1,0,1,2,6,3,9,7,3,1
17/10/2020,Juventus,1,1,0,1,0,1,1,8,3,14,4,3,1
25/10/2020,Juventus,6,3,1,2,0,3,3,28,15,38,17,7,2
01/11/2020,Juventus,4,4,0,3,0,2,3,30,14,37,17,7,2
08/11/2020,Juventus,6,3,1,2,0,2,2,32,16,35,13,5,1
21/11/2020,Juventus,6,3,1,2,0,2,1,33,19,33,11,4,0
28/11/2020,Juventus,7,2,2,1,0,4,1,30,19,30,14,6,0
05/12/2020,Juventus,4,2,1,2,0,4,1,33,19,36,19,6,1
13/12/2020,Juventus,5,2,2,1,0,3,2,33,18,41,30,7,2
16/12/2020,Juventus,6,3,2,1,0,1,2,35,19,44,31,7,2
19/12/2020,Juventus,6,3,2,1,0,1,1,35,21,44,25,9,1
22/12/2020,Juventus,8,2,2,1,0,3,0,38,23,37,21,7,0
03/01/2021,Juventus,5,4,1,1,1,3,1,33,17,32,16,5,1
06/01/2021,Juventus,8,4,2,0,1,3,1,35,20,33,21,5,1
10/01/2021,Juventus,7,5,2,0,1,2,2,36,23,35,16,6,1
17/01/2021,Juventus,10,3,3,0,0,2,1,46,30,37,17,9,0
24/01/2021,Juventus,6,4,2,0,1,1,2,41,24,37,14,8,0
30/01/2021,Juventus,5,3,2,0,1,1,1,50,26,36,17,9,0
06/02/2021,Juventus,4,2,2,0,1,2,1,40,20,35,18,7,0
13/02/2021,Juventus,6,0,3,0,0,3,0,35,19,30,16,7,0
22/02/2021,Juventus,4,1,2,0,1,2,1,35,13,37,18,7,0
27/02/2021,Juventus,5,1,2,0,1,3,1,51,18,45,18,8,0
02/03/2021,Juventus,4,2,1,1,1,2,1,63,21,50,21,8,0
