Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
26/09/2020,Lazio,2,0,1,0,0,1,0,9,7,13,6,1,0
30/09/2020,Lazio,1,4,0,0,1,0,3,11,8,16,7,7,0
04/10/2020,Lazio,1,1,0,1,0,0,1,11,5,14,7,3,1
17/10/2020,Lazio,4,5,1,1,1,1,4,31,20,43,20,11,1
24/10/2020,Lazio,2,8,0,1,2,0,6,30,14,40,17,12,1
01/11/2020,Lazio,3,5,1,1,1,0,3,25,10,38,18,8,1
08/11/2020,Lazio,6,7,2,0,1,1,4,23,10,36,12,9,0
21/11/2020,Lazio,7,5,2,1,0,1,3,22,12,38,13,9,0
29/11/2020,Lazio,7,4,2,1,0,2,3,29,17,35,11,10,0
05/12/2020,Lazio,4,4,1,1,1,1,3,28,18,39,14,9,0
12/12/2020,Lazio,5,4,2,0,1,3,2,24,17,39,10,8,0
15/12/2020,Lazio,4,6,1,0,2,2,3,19,13,41,9,9,0
20/12/2020,Lazio,4,4,1,1,1,3,2,19,10,40,13,8,0
23/12/2020,Lazio,4,3,1,1,1,2,2,25,10,40,17,11,0
03/01/2021,Lazio,5,4,1,1,1,3,3,30,14,41,18,10,0
06/01/2021,Lazio,5,4,1,1,1,3,2,32,15,45,19,12,0
10/01/2021,Lazio,5,5,1,1,1,3,2,34,19,44,17,11,0
15/01/2021,Lazio,5,2,2,1,0,2,0,42,15,36,17,8,0
24/01/2021,Lazio,7,1,3,0,0,3,0,41,20,29,9,9,0
31/01/2021,Lazio,7,1,3,0,0,3,1,48,22,34,16,8,0
07/02/2021,Lazio,8,2,3,0,0,4,1,42,24,48,12,9,0
14/02/2021,Lazio,6,2,3,0,0,2,1,47,21,52,23,6,0
20/02/2021,Lazio,5,4,2,0,1,1,2,41,20,40,14,5,0
27/02/2021,Lazio,3,3,2,0,1,1,2,37,21,34,16,7,0
