Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
21/09/2020,Milan,2,0,1,0,0,1,0,14,6,13,7,3,0
27/09/2020,Milan,2,0,1,0,0,1,0,11,7,15,5,3,0
04/10/2020,Milan,3,0,1,0,0,0,0,10,5,14,4,1,0
17/10/2020,Milan,7,0,3,0,0,2,0,35,18,42,16,7,0
26/10/2020,Milan,7,1,3,0,0,3,1,29,16,40,14,8,0
01/11/2020,Milan,8,4,2,1,0,3,2,31,20,40,16,8,0
08/11/2020,Milan,7,5,2,1,0,4,2,29,19,38,16,9,0
22/11/2020,Milan,7,6,1,2,0,3,3,42,24,43,25,6,0
29/11/2020,Milan,7,4,2,1,0,3,2,40,20,44,23,7,0
06/12/2020,Milan,7,3,2,1,0,4,2,43,21,47,22,7,0
13/12/2020,Milan,7,2,3,0,0,4,0,31,18,47,14,7,0
16/12/2020,Milan,6,3,2,1,0,3,1,36,21,43,22,6,0
20/12/2020,Milan,6,5,1,2,0,1,1,33,20,41,29,7,0
23/12/2020,Milan,6,5,1,2,0,2,1,35,19,37,27,9,0
03/01/2021,Milan,7,5,2,1,0,4,1,28,14,34,18,8,0
06/01/2021,Milan,7,3,3,0,0,5,1,28,15,35,12,8,1
09/01/2021,Milan,6,5,2,0,1,4,2,35,17,40,15,6,1
18/01/2021,Milan,5,3,2,0,1,4,1,34,16,53,18,10,1
23/01/2021,Milan,5,3,2,0,1,4,1,35,19,52,18,10,1
30/01/2021,Milan,4,3,2,0,1,3,1,27,15,46,16,11,1
07/02/2021,Milan,4,4,2,0,1,2,1,36,24,36,13,6,1
13/02/2021,Milan,6,4,2,0,1,2,1,48,28,40,17,6,0
21/02/2021,Milan,6,3,2,0,1,2,0,45,25,43,14,5,0
28/02/2021,Milan,4,5,1,0,2,1,1,44,22,40,17,6,0
03/03/2021,Milan,2,6,1,0,2,1,1,43,24,32,17,6,0
