Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
20/09/2020,Napoli,2,0,1,0,0,0,0,12,7,12,2,1,0
27/09/2020,Napoli,6,0,1,0,0,1,0,18,11,6,4,1,0
17/10/2020,Napoli,4,1,1,0,0,4,0,18,14,12,6,1,0
25/10/2020,Napoli,12,1,3,0,0,5,0,48,32,30,12,3,0
01/11/2020,Napoli,12,2,3,0,0,5,1,50,33,31,25,3,0
08/11/2020,Napoli,6,4,2,0,1,4,1,50,29,32,33,4,0
22/11/2020,Napoli,3,3,2,0,1,1,1,40,19,31,34,3,0
29/11/2020,Napoli,2,5,1,0,2,1,1,42,20,26,27,5,1
06/12/2020,Napoli,6,3,2,0,1,2,1,37,22,22,26,4,1
13/12/2020,Napoli,9,3,2,0,1,2,1,40,24,20,20,7,1
16/12/2020,Napoli,10,1,3,0,0,2,1,37,23,19,19,7,0
20/12/2020,Napoli,6,2,2,0,1,1,1,33,19,25,11,9,1
23/12/2020,Napoli,2,4,1,0,2,0,2,29,19,24,19,9,1
03/01/2021,Napoli,1,4,0,1,2,0,1,28,17,36,16,9,1
06/01/2021,Napoli,5,4,1,1,1,1,1,41,24,33,21,7,0
10/01/2021,Napoli,6,4,1,1,1,1,0,61,29,34,22,6,0
17/01/2021,Napoli,7,4,2,0,1,2,1,64,29,21,25,4,0
24/01/2021,Napoli,9,3,2,0,1,5,1,52,24,26,18,4,0
31/01/2021,Napoli,9,4,2,0,1,6,2,37,17,25,11,5,0
06/02/2021,Napoli,9,3,2,0,1,6,1,32,17,34,11,6,0
13/02/2021,Napoli,4,5,1,0,2,2,3,46,21,34,16,8,0
21/02/2021,Napoli,4,2,2,0,1,2,2,44,20,35,16,7,0
28/02/2021,Napoli,4,6,1,0,2,1,2,39,18,31,11,6,0
03/03/2021,Napoli,5,4,2,0,1,2,0,35,15,33,13,6,1
