Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
20/09/2020,Parma,0,2,0,0,1,0,0,4,2,16,4,4,0
28/09/2020,Parma,1,4,0,0,1,0,2,8,4,9,9,2,1
04/10/2020,Parma,1,0,1,0,0,1,0,7,5,11,7,1,0
18/10/2020,Parma,2,6,1,0,2,1,2,19,11,36,20,7,1
25/10/2020,Parma,4,7,1,0,2,2,3,22,12,31,18,5,1
31/10/2020,Parma,5,5,1,1,1,3,3,29,15,34,21,6,0
07/11/2020,Parma,6,7,0,2,1,2,3,26,13,30,16,6,0
22/11/2020,Parma,4,4,0,3,0,1,2,24,10,36,16,5,0
30/11/2020,Parma,2,5,0,2,1,0,3,10,4,28,5,2,0
06/12/2020,Parma,2,4,1,1,1,1,3,13,4,37,5,3,0
13/12/2020,Parma,2,4,1,1,1,1,3,14,4,33,9,6,0
16/12/2020,Parma,4,3,1,2,0,2,0,18,6,43,9,9,0
19/12/2020,Parma,2,2,0,3,0,1,0,21,6,40,15,8,0
22/12/2020,Parma,2,6,0,2,1,1,2,24,11,35,13,4,0
03/01/2021,Parma,1,6,0,1,2,0,4,33,15,43,18,7,0
06/01/2021,Parma,1,9,0,0,3,0,5,38,18,50,19,8,0
10/01/2021,Parma,1,8,0,0,3,0,4,32,14,48,18,9,0
17/01/2021,Parma,0,8,0,0,3,0,2,27,10,37,17,7,0
24/01/2021,Parma,1,6,0,1,2,1,1,23,6,28,10,7,0
31/01/2021,Parma,1,5,0,1,2,1,2,31,12,36,12,7,0
07/02/2021,Parma,1,5,0,1,2,1,3,26,10,41,13,7,0
15/02/2021,Parma,0,7,0,0,3,0,5,31,16,43,16,7,0
21/02/2021,Parma,1,7,0,0,3,1,4,33,13,44,15,8,0
27/02/2021,Parma,3,7,0,1,2,3,3,44,18,46,12,11,0
