Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
19/09/2020,Roma,0,0,0,1,0,0,0,15,7,20,6,0,0
27/09/2020,Roma,2,2,0,1,0,2,1,7,6,19,5,2,0
03/10/2020,Roma,1,0,1,0,0,0,0,8,3,10,1,0,0
18/10/2020,Roma,3,2,1,2,0,2,1,30,16,49,12,2,0
26/10/2020,Roma,8,4,2,1,0,4,2,31,19,46,12,5,0
01/11/2020,Roma,9,5,2,1,0,3,2,35,22,42,14,5,0
08/11/2020,Roma,10,5,2,1,0,4,2,38,26,49,20,8,0
22/11/2020,Roma,8,4,2,1,0,3,1,40,27,43,22,5,0
29/11/2020,Roma,8,1,3,0,0,5,0,41,25,33,19,3,0
06/12/2020,Roma,6,5,2,0,1,4,1,34,19,26,16,2,0
13/12/2020,Roma,3,4,1,1,1,3,1,30,13,25,20,7,1
17/12/2020,Roma,5,5,1,1,1,5,2,31,14,29,21,9,1
20/12/2020,Roma,8,2,2,1,0,7,1,37,21,40,21,11,1
23/12/2020,Roma,9,6,2,0,1,8,1,28,20,44,11,9,0
03/01/2021,Roma,7,7,2,0,1,4,0,28,21,53,12,10,0
06/01/2021,Roma,5,6,2,0,1,2,0,30,21,49,16,9,0
10/01/2021,Roma,7,3,3,0,0,4,0,35,22,51,18,9,0
15/01/2021,Roma,6,3,2,1,0,4,0,36,21,51,15,9,0
23/01/2021,Roma,5,6,1,1,1,4,2,29,15,53,14,10,0
31/01/2021,Roma,6,8,1,1,1,2,3,32,18,49,13,10,0
06/02/2021,Roma,7,7,2,0,1,4,3,33,16,46,14,9,0
14/02/2021,Roma,7,6,2,0,1,4,2,42,17,40,16,7,0
21/02/2021,Roma,6,3,2,0,1,5,1,41,17,45,20,6,0
28/02/2021,Roma,3,2,1,1,1,2,1,40,19,48,25,5,0
03/03/2021,Roma,4,2,1,1,1,2,1,43,26,49,21,6,0
