Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
20/09/2020,Sampdoria,0,3,0,0,1,0,1,10,2,9,4,1,0
26/09/2020,Sampdoria,2,3,0,0,1,2,1,5,4,17,6,3,0
02/10/2020,Sampdoria,2,1,1,0,0,1,0,14,10,16,4,3,0
17/10/2020,Sampdoria,4,7,1,0,2,3,2,29,16,42,14,7,0
24/10/2020,Sampdoria,7,4,2,0,1,5,1,30,22,45,13,8,0
01/11/2020,Sampdoria,8,2,3,0,0,4,0,30,22,46,8,9,0
07/11/2020,Sampdoria,7,2,2,1,0,4,1,25,15,49,11,11,0
22/11/2020,Sampdoria,4,4,1,1,1,2,1,19,8,53,14,11,1
30/11/2020,Sampdoria,2,5,0,1,2,2,2,22,8,45,22,9,1
06/12/2020,Sampdoria,3,6,0,1,2,1,2,20,7,43,17,6,1
13/12/2020,Sampdoria,4,6,0,1,2,1,3,21,9,38,20,6,0
16/12/2020,Sampdoria,4,6,0,1,2,1,2,17,8,41,16,8,0
19/12/2020,Sampdoria,4,5,1,0,2,2,1,16,9,41,17,10,0
23/12/2020,Sampdoria,6,4,2,0,1,4,1,16,10,44,11,10,0
03/01/2021,Sampdoria,7,5,2,0,1,3,2,26,13,41,20,8,1
06/01/2021,Sampdoria,5,5,1,0,2,2,2,22,12,38,19,9,1
11/01/2021,Sampdoria,4,5,1,0,2,2,1,24,14,37,20,10,1
16/01/2021,Sampdoria,3,4,1,0,2,3,1,16,12,42,8,11,0
24/01/2021,Sampdoria,5,4,2,0,1,3,1,29,18,36,17,7,0
30/01/2021,Sampdoria,5,3,2,0,1,3,1,32,16,37,18,5,0
07/02/2021,Sampdoria,4,3,2,0,1,2,1,32,14,33,21,6,0
14/02/2021,Sampdoria,3,3,1,1,1,2,1,27,11,39,20,7,0
20/02/2021,Sampdoria,3,4,1,1,1,1,2,23,10,39,21,7,0
28/02/2021,Sampdoria,3,3,1,1,1,1,2,28,10,45,21,6,0
03/03/2021,Sampdoria,2,4,1,0,2,1,3,25,8,38,16,5,0
