Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
20/09/2020,Sassuolo,1,1,0,1,0,0,0,21,10,9,7,1,0
27/09/2020,Sassuolo,4,1,1,0,0,1,1,10,8,8,5,1,0
03/10/2020,Sassuolo,4,1,1,0,0,1,0,7,4,15,3,2,0
18/10/2020,Sassuolo,9,3,2,1,0,2,1,38,22,32,15,4,0
23/10/2020,Sassuolo,12,5,3,0,0,3,3,37,24,35,19,5,0
01/11/2020,Sassuolo,11,7,2,1,0,2,3,40,25,37,20,6,0
06/11/2020,Sassuolo,9,6,2,1,0,1,3,41,26,31,20,6,0
22/11/2020,Sassuolo,5,3,1,2,0,0,1,24,15,36,12,6,0
28/11/2020,Sassuolo,4,0,2,1,0,1,0,21,11,46,7,7,0
06/12/2020,Sassuolo,2,3,1,1,1,1,2,20,9,50,10,8,0
11/12/2020,Sassuolo,2,3,1,1,1,1,2,24,10,45,12,9,0
16/12/2020,Sassuolo,1,3,1,1,1,1,2,18,7,37,12,8,1
20/12/2020,Sassuolo,2,1,1,2,0,2,1,23,11,35,7,9,1
23/12/2020,Sassuolo,3,3,1,1,1,2,3,32,14,34,8,7,1
03/01/2021,Sassuolo,5,5,1,1,1,2,3,38,20,34,13,9,0
06/01/2021,Sassuolo,5,9,1,0,2,1,4,33,17,32,15,6,0
10/01/2021,Sassuolo,6,8,2,0,1,1,2,30,18,35,17,8,0
17/01/2021,Sassuolo,4,9,1,0,2,0,2,30,12,27,14,5,1
24/01/2021,Sassuolo,4,5,1,1,1,0,1,38,14,36,16,7,1
31/01/2021,Sassuolo,3,6,0,1,2,1,2,30,9,37,14,7,1
06/02/2021,Sassuolo,3,4,0,2,1,1,2,34,12,44,25,9,0
14/02/2021,Sassuolo,3,5,0,1,2,2,2,27,10,46,25,8,0
20/02/2021,Sassuolo,4,4,1,1,1,2,2,43,13,48,27,6,0
03/03/2021,Sassuolo,4,4,1,1,1,2,3,61,19,51,23,4,0
