Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
27/09/2020,Spezia,1,4,0,0,1,1,1,11,6,13,3,2,0
30/09/2020,Spezia,2,0,1,0,0,1,0,4,3,17,2,5,1
04/10/2020,Spezia,0,3,0,0,1,0,0,3,2,19,6,2,0
18/10/2020,Spezia,3,7,1,0,2,2,1,18,11,49,11,9,1
25/10/2020,Spezia,4,5,1,1,1,2,2,13,7,51,13,9,1
01/11/2020,Spezia,4,7,0,2,1,3,3,22,13,56,14,6,0
07/11/2020,Spezia,5,8,0,2,1,4,4,30,14,51,12,7,0
21/11/2020,Spezia,6,6,1,1,1,4,2,37,19,54,11,8,0
29/11/2020,Spezia,4,4,1,1,1,2,1,30,13,51,9,9,0
05/12/2020,Spezia,5,2,1,2,0,2,0,31,15,55,10,10,0
12/12/2020,Spezia,3,4,0,2,1,1,2,29,14,52,13,10,0
16/12/2020,Spezia,4,8,0,1,2,2,3,32,16,47,16,10,0
20/12/2020,Spezia,4,8,0,1,2,2,3,27,16,48,14,12,0
23/12/2020,Spezia,4,8,0,1,2,2,1,23,11,42,9,11,0
03/01/2021,Spezia,4,6,0,1,2,2,1,21,11,46,9,11,0
06/01/2021,Spezia,2,5,0,0,3,1,1,20,7,49,9,11,1
11/01/2021,Spezia,3,4,1,0,2,1,1,21,10,56,9,14,2
16/01/2021,Spezia,4,3,2,0,1,1,1,22,9,55,9,15,2
23/01/2021,Spezia,4,2,2,1,0,1,1,22,11,47,8,12,2
31/01/2021,Spezia,5,5,1,1,1,2,2,19,10,44,7,8,1
06/02/2021,Spezia,3,5,0,1,2,1,1,20,11,45,5,10,2
13/02/2021,Spezia,5,6,1,0,2,2,2,27,15,46,8,10,1
19/02/2021,Spezia,4,2,2,0,1,1,1,37,17,51,12,12,1
27/02/2021,Spezia,4,4,2,0,1,1,1,39,15,44,16,6,0
02/03/2021,Spezia,4,5,1,1,1,0,2,39,15,47,19,6,0
