Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
19/09/2020,Torino,0,1,0,0,1,0,0,6,3,20,1,1,0
26/09/2020,Torino,2,4,0,0,1,2,3,5,5,11,2,1,0
18/10/2020,Torino,2,3,0,0,1,1,2,10,6,14,2,2,1
23/10/2020,Torino,4,8,0,0,3,3,5,21,14,45,5,4,1
01/11/2020,Torino,7,10,0,1,2,4,5,29,23,37,12,5,1
04/11/2020,Torino,8,10,0,1,2,4,3,32,24,37,17,6,1
08/11/2020,Torino,8,8,1,1,1,5,1,28,19,41,17,8,0
22/11/2020,Torino,5,5,1,1,1,4,1,19,8,44,15,9,0
30/11/2020,Torino,4,5,1,1,1,3,0,22,8,47,9,9,0
05/12/2020,Torino,4,6,0,2,1,2,0,27,15,46,13,6,0
12/12/2020,Torino,5,8,0,1,2,3,0,27,16,41,8,6,0
17/12/2020,Torino,5,7,0,1,2,2,1,22,15,36,9,7,0
20/12/2020,Torino,4,8,0,0,3,1,3,23,15,35,5,9,1
23/12/2020,Torino,4,7,0,1,2,0,3,31,18,41,8,7,1
03/01/2021,Torino,3,5,0,2,1,0,2,29,16,48,9,7,1
06/01/2021,Torino,5,2,1,2,0,1,0,31,16,48,10,6,0
09/01/2021,Torino,5,2,1,2,0,1,0,33,16,44,15,6,0
16/01/2021,Torino,4,3,1,1,1,1,2,37,17,43,17,5,0
22/01/2021,Torino,1,3,0,2,1,0,2,31,11,39,20,6,0
29/01/2021,Torino,2,4,0,2,1,0,3,30,12,49,15,8,0
06/02/2021,Torino,3,3,0,3,0,0,1,37,14,54,17,8,0
13/02/2021,Torino,6,6,0,3,0,2,4,48,23,59,14,7,0
19/02/2021,Torino,4,4,0,3,0,2,3,44,19,50,13,6,0
