Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
27/09/2020,Udinese,0,1,0,0,1,0,0,14,6,13,9,0,0
30/09/2020,Udinese,0,2,0,0,1,0,1,10,5,13,2,0,0
03/10/2020,Udinese,0,1,0,0,1,0,0,9,5,15,4,1,0
18/10/2020,Udinese,0,4,0,0,3,0,1,33,16,41,15,1,0
25/10/2020,Udinese,3,5,1,0,2,1,2,28,14,40,17,4,0
01/11/2020,Udinese,5,6,1,0,2,2,3,29,15,41,22,7,0
06/11/2020,Udinese,6,7,1,0,2,2,4,27,13,40,20,8,0
22/11/2020,Udinese,3,5,0,1,2,1,3,18,9,41,15,7,0
29/11/2020,Udinese,2,2,1,1,1,1,1,14,7,44,12,6,0
12/12/2020,Udinese,4,1,2,1,0,3,0,13,8,40,14,8,0
15/12/2020,Udinese,7,3,3,0,0,4,0,18,11,44,10,9,0
20/12/2020,Udinese,6,3,2,1,0,3,0,19,13,40,15,8,0
23/12/2020,Udinese,4,3,1,2,0,1,1,24,14,43,18,5,0
03/01/2021,Udinese,1,3,0,2,1,0,2,26,13,43,23,3,0
06/01/2021,Udinese,2,7,0,1,2,0,3,26,14,38,15,2,0
10/01/2021,Udinese,3,8,0,1,2,1,4,27,18,38,14,4,0
16/01/2021,Udinese,4,8,0,1,2,2,4,37,24,40,9,6,0
20/01/2021,Udinese,4,6,0,1,2,2,3,43,24,43,13,7,0
23/01/2021,Udinese,3,5,0,1,2,2,2,37,16,50,9,7,0
31/01/2021,Udinese,2,3,0,2,1,1,1,26,9,42,10,7,0
07/02/2021,Udinese,2,1,1,2,0,1,1,18,6,50,7,10,1
14/02/2021,Udinese,3,0,2,1,0,0,0,26,13,39,15,9,1
21/02/2021,Udinese,3,3,2,0,1,0,2,26,13,35,14,6,1
28/02/2021,Udinese,4,5,1,1,1,0,4,32,12,31,14,6,0
03/03/2021,Udinese,3,5,1,1,1,0,4,27,7,34,7,5,0
