Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
19/09/2020,Verona,0,0,0,1,0,0,0,9,7,19,0,2,0
27/09/2020,Verona,1,0,1,0,0,0,0,8,2,13,1,1,0
04/10/2020,Verona,0,1,0,0,1,0,1,8,5,19,6,1,0
19/10/2020,Verona,1,1,1,1,1,0,1,25,14,51,7,4,0
25/10/2020,Verona,1,1,1,1,1,0,1,34,19,46,21,3,0
02/11/2020,Verona,1,2,0,2,1,0,1,31,19,52,23,6,0
08/11/2020,Verona,4,2,1,2,0,1,0,33,21,51,21,10,0
22/11/2020,Verona,6,4,1,2,0,3,1,20,12,57,8,12,0
28/11/2020,Verona,5,5,1,1,1,3,2,28,17,51,11,9,0
06/12/2020,Verona,4,4,1,1,1,2,2,25,13,48,8,7,0
12/12/2020,Verona,3,3,1,1,1,1,1,32,16,39,14,6,0
16/12/2020,Verona,5,2,2,1,0,2,0,22,12,41,11,8,0
19/12/2020,Verona,4,4,1,1,1,2,1,21,15,46,16,7,1
23/12/2020,Verona,4,4,1,1,1,2,2,14,12,51,10,7,1
03/01/2021,Verona,3,5,0,1,2,1,2,16,11,51,9,8,1
06/01/2021,Verona,3,3,1,1,1,1,1,19,9,41,8,6,0
10/01/2021,Verona,3,3,1,1,1,0,0,22,8,43,10,7,0
16/01/2021,Verona,4,2,2,1,0,2,0,28,13,44,14,6,0
24/01/2021,Verona,3,3,1,1,1,2,1,27,10,44,12,7,0
31/01/2021,Verona,5,3,2,0,1,3,2,34,15,39,12,6,0
07/02/2021,Verona,4,5,1,0,2,1,5,29,10,34,11,4,0
15/02/2021,Verona,4,6,1,0,2,1,4,26,10,39,16,7,0
20/02/2021,Verona,3,6,1,0,2,1,4,22,8,42,17,9,0
27/02/2021,Verona,4,5,1,1,1,2,1,25,10,48,13,9,0
03/03/2021,Verona,5,4,1,2,0,2,1,33,15,51,13,7,0
