Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
19/09/2020,AZ Alkmaar,1,1,0,1,0,0,1,13,3,7,6,0,1
26/09/2020,AZ Alkmaar,3,3,0,1,0,1,1,12,4,13,8,1,0
04/10/2020,AZ Alkmaar,4,4,0,1,0,4,0,15,6,14,6,4,1
17/10/2020,AZ Alkmaar,8,8,0,3,0,5,2,40,13,34,20,5,2
25/10/2020,AZ Alkmaar,9,9,0,3,0,7,1,47,17,38,20,6,2
01/11/2020,AZ Alkmaar,8,8,0,3,0,7,0,58,20,31,20,6,2
08/11/2020,AZ Alkmaar,7,4,1,2,0,4,0,62,25,25,20,3,1
22/11/2020,AZ Alkmaar,8,2,2,1,0,4,0,57,24,23,24,2,0
29/11/2020,AZ Alkmaar,7,0,3,0,0,4,0,58,25,25,31,3,0
06/12/2020,AZ Alkmaar,6,1,3,0,0,5,0,52,21,33,28,3,0
13/12/2020,AZ Alkmaar,4,3,2,0,1,4,0,42,17,34,25,10,2
20/12/2020,AZ Alkmaar,6,4,2,0,1,5,0,31,16,34,14,8,2
23/12/2020,AZ Alkmaar,9,6,2,0,1,5,2,37,17,27,14,7,2
27/12/2020,AZ Alkmaar,11,5,3,0,0,6,2,43,19,28,11,0,0
09/01/2021,AZ Alkmaar,10,6,2,1,0,4,3,42,18,24,11,0,0
13/01/2021,AZ Alkmaar,6,4,1,2,0,2,2,38,14,25,19,0,0
16/01/2021,AZ Alkmaar,6,4,1,2,0,2,2,33,14,26,18,3,0
24/01/2021,AZ Alkmaar,6,3,2,1,0,2,1,40,13,27,31,3,0
27/01/2021,AZ Alkmaar,8,4,3,0,0,3,1,38,17,25,24,3,0
31/01/2021,AZ Alkmaar,5,4,2,0,1,1,1,43,16,25,26,1,0
06/02/2021,AZ Alkmaar,3,6,1,0,2,1,2,32,14,27,11,1,0
14/02/2021,AZ Alkmaar,1,4,1,0,2,0,1,35,11,27,15,2,0
20/02/2021,AZ Alkmaar,4,4,2,0,1,1,1,39,17,25,18,2,0
28/02/2021,AZ Alkmaar,8,2,3,0,0,2,1,51,24,27,28,3,0
