Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
13/09/2020,Ajax,1,0,1,0,0,1,0,9,4,13,1,3,1
20/09/2020,Ajax,3,0,1,0,0,2,0,23,10,8,4,1,0
26/09/2020,Ajax,2,1,1,0,0,1,0,18,4,13,7,3,1
04/10/2020,Ajax,6,1,3,0,0,4,0,50,18,34,12,7,2
18/10/2020,Ajax,5,2,2,0,1,3,0,60,17,30,22,5,1
24/10/2020,Ajax,7,3,2,0,1,4,0,53,12,32,23,5,1
31/10/2020,Ajax,18,2,2,0,1,7,0,80,31,28,28,2,0
08/11/2020,Ajax,23,3,3,0,0,9,1,91,37,31,24,1,0
22/11/2020,Ajax,21,2,3,0,0,6,1,94,38,34,27,1,0
28/11/2020,Ajax,13,2,3,0,0,5,1,67,28,37,29,1,0
05/12/2020,Ajax,13,0,3,0,0,6,0,64,31,35,34,2,0
12/12/2020,Ajax,11,2,2,0,1,6,1,64,30,28,35,2,0
20/12/2020,Ajax,10,2,2,0,1,6,1,68,30,31,35,2,0
23/12/2020,Ajax,9,4,2,0,1,7,1,71,30,24,34,1,0
10/01/2021,Ajax,9,3,2,1,0,8,0,84,33,25,37,1,0
14/01/2021,Ajax,7,5,1,2,0,6,2,73,24,18,29,2,0
17/01/2021,Ajax,6,4,1,2,0,3,2,64,24,26,24,2,0
24/01/2021,Ajax,6,3,2,1,0,3,2,44,18,36,18,1,0
28/01/2021,Ajax,6,2,3,0,0,3,0,52,22,45,22,2,0
31/01/2021,Ajax,6,2,3,0,0,2,0,58,19,48,23,4,0
13/02/2021,Ajax,8,2,3,0,0,2,0,59,24,44,20,4,0
21/02/2021,Ajax,8,1,3,0,0,2,0,47,19,40,12,3,0
28/02/2021,Ajax,9,2,3,0,0,5,0,36,17,30,8,1,0
