Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
13/09/2020,Den Haag,0,2,0,0,1,0,0,8,1,15,2,3,1
20/09/2020,Den Haag,0,1,0,0,1,0,1,6,0,12,3,1,0
27/09/2020,Den Haag,2,4,0,0,1,1,1,11,5,11,4,1,0
03/10/2020,Den Haag,2,7,0,0,3,1,2,25,6,38,9,5,1
18/10/2020,Den Haag,4,6,1,0,2,2,3,32,10,30,8,3,0
25/10/2020,Den Haag,4,7,1,0,2,2,3,37,14,33,8,4,0
01/11/2020,Den Haag,4,5,1,1,1,1,3,35,12,30,7,5,0
07/11/2020,Den Haag,2,8,0,1,2,0,3,25,10,34,8,5,0
22/11/2020,Den Haag,4,10,0,1,2,0,3,24,10,30,8,3,0
28/11/2020,Den Haag,2,14,0,0,3,0,3,17,8,32,5,3,0
06/12/2020,Den Haag,3,11,0,1,2,1,3,17,7,27,7,2,0
12/12/2020,Den Haag,2,8,0,2,1,1,2,16,5,25,7,6,0
20/12/2020,Den Haag,3,3,0,3,0,2,1,21,6,20,9,5,0
23/12/2020,Den Haag,4,6,0,2,1,1,4,21,7,20,7,5,0
09/01/2021,Den Haag,3,7,0,1,2,1,4,20,6,21,8,2,0
13/01/2021,Den Haag,3,6,1,0,2,1,4,24,9,30,11,3,0
16/01/2021,Den Haag,2,6,1,0,2,1,1,33,10,36,15,6,0
23/01/2021,Den Haag,3,6,1,0,2,1,1,28,11,32,11,5,0
26/01/2021,Den Haag,2,6,0,1,2,0,1,30,10,22,13,5,0
31/01/2021,Den Haag,1,5,0,1,2,0,2,23,7,24,12,4,0
13/02/2021,Den Haag,1,4,0,2,1,1,2,28,10,29,16,8,0
20/02/2021,Den Haag,3,6,0,2,1,2,2,20,8,30,10,6,0
24/02/2021,Den Haag,3,5,0,2,1,2,1,17,8,22,8,5,0
27/02/2021,Den Haag,3,5,0,2,1,1,1,17,6,18,5,1,1
