Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
13/09/2020,FC Emmen,3,5,0,0,1,1,0,15,5,10,7,2,0
19/09/2020,FC Emmen,1,2,0,0,1,0,1,7,2,12,5,3,0
27/09/2020,FC Emmen,1,1,0,1,0,1,1,10,2,14,2,1,1
03/10/2020,FC Emmen,5,8,0,1,2,2,2,32,9,36,14,6,1
18/10/2020,FC Emmen,3,4,0,2,1,1,2,24,6,36,8,5,1
24/10/2020,FC Emmen,4,4,0,3,0,1,3,34,12,32,8,4,1
01/11/2020,FC Emmen,3,7,0,2,1,0,4,33,12,25,14,6,2
08/11/2020,FC Emmen,4,9,0,1,2,2,6,35,13,27,19,9,3
22/11/2020,FC Emmen,3,10,0,0,3,2,7,33,10,27,17,12,3
28/11/2020,FC Emmen,3,7,0,0,3,2,6,29,11,28,12,10,2
04/12/2020,FC Emmen,1,9,0,0,3,0,7,23,9,28,6,6,1
12/12/2020,FC Emmen,1,8,0,0,3,0,5,20,7,34,8,4,1
18/12/2020,FC Emmen,2,8,0,1,2,0,5,42,11,36,12,4,0
22/12/2020,FC Emmen,2,3,0,2,1,0,2,44,13,36,20,4,0
09/01/2021,FC Emmen,3,4,0,2,1,2,2,47,14,32,19,1,0
12/01/2021,FC Emmen,3,7,0,1,2,2,4,28,8,35,14,0,0
16/01/2021,FC Emmen,3,11,0,0,3,2,6,31,6,36,10,2,0
23/01/2021,FC Emmen,2,12,0,0,3,0,7,22,6,40,6,5,0
26/01/2021,FC Emmen,1,8,0,1,2,0,4,27,9,33,8,5,0
31/01/2021,FC Emmen,1,6,0,1,2,0,2,24,10,29,8,3,0
06/02/2021,FC Emmen,0,4,0,1,2,0,1,36,8,27,13,1,0
12/02/2021,FC Emmen,0,5,0,0,3,0,1,29,5,31,11,1,0
20/02/2021,FC Emmen,0,4,0,0,3,0,1,29,5,30,9,1,0
27/02/2021,FC Emmen,3,4,1,0,2,2,1,25,8,36,11,2,0
