Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
12/09/2020,Feyenoord,2,0,1,0,0,1,0,13,6,11,3,1,0
20/09/2020,Feyenoord,1,1,0,1,0,1,1,18,5,7,8,2,0
27/09/2020,Feyenoord,4,2,1,0,0,1,1,24,12,10,10,2,0
04/10/2020,Feyenoord,7,3,2,1,0,3,2,55,23,28,21,5,0
18/10/2020,Feyenoord,9,4,2,1,0,3,3,58,25,37,22,5,0
25/10/2020,Feyenoord,9,4,2,1,0,3,2,51,21,40,22,6,0
01/11/2020,Feyenoord,7,4,1,2,0,2,1,45,17,38,15,6,0
08/11/2020,Feyenoord,6,5,1,2,0,3,2,53,16,31,20,7,0
22/11/2020,Feyenoord,7,4,2,1,0,2,2,51,21,31,18,5,0
29/11/2020,Feyenoord,8,3,3,0,0,4,3,49,21,31,20,3,1
06/12/2020,Feyenoord,6,2,2,1,0,2,1,34,16,25,15,2,1
13/12/2020,Feyenoord,4,2,1,2,0,2,1,45,17,27,17,1,1
20/12/2020,Feyenoord,4,1,1,2,0,0,0,50,17,33,18,1,0
23/12/2020,Feyenoord,3,1,1,1,1,0,1,65,19,40,22,1,0
10/01/2021,Feyenoord,6,1,2,0,1,0,1,73,21,37,20,1,0
13/01/2021,Feyenoord,5,1,2,0,1,1,1,65,16,33,18,1,0
17/01/2021,Feyenoord,6,0,3,0,0,1,0,62,16,25,20,0,0
24/01/2021,Feyenoord,3,1,2,0,1,1,1,43,11,29,17,0,0
27/01/2021,Feyenoord,3,4,1,0,2,1,2,43,14,36,17,1,0
31/01/2021,Feyenoord,2,7,0,0,3,1,4,37,11,35,16,2,0
14/02/2021,Feyenoord,5,7,1,0,2,4,3,34,12,34,13,3,0
21/02/2021,Feyenoord,8,4,2,0,1,4,2,44,18,29,18,3,0
24/02/2021,Feyenoord,10,3,2,1,0,5,2,39,19,33,12,4,0
28/02/2021,Feyenoord,7,2,1,2,0,2,2,52,18,30,19,3,0
