Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
12/09/2020,For Sittard,0,2,0,0,1,0,1,2,0,13,2,0,0
19/09/2020,For Sittard,1,3,0,0,1,0,3,25,7,9,14,4,0
26/09/2020,For Sittard,3,3,0,1,0,1,1,13,5,9,5,2,0
04/10/2020,For Sittard,4,8,0,1,2,1,5,40,12,31,21,6,0
18/10/2020,For Sittard,4,8,0,1,2,1,5,54,17,28,22,7,0
25/10/2020,For Sittard,5,7,0,2,1,3,2,44,15,34,11,4,0
31/10/2020,For Sittard,3,7,0,1,2,2,3,36,12,37,7,3,0
06/11/2020,For Sittard,5,10,0,1,2,3,4,31,14,38,4,3,0
22/11/2020,For Sittard,5,10,0,1,2,3,5,26,15,31,3,4,0
29/11/2020,For Sittard,5,10,0,1,2,4,5,35,20,34,7,5,0
05/12/2020,For Sittard,3,7,0,1,2,3,3,35,15,41,8,7,0
11/12/2020,For Sittard,4,7,1,0,2,4,2,32,13,47,8,6,0
19/12/2020,For Sittard,5,5,2,0,1,4,0,23,7,47,5,8,0
22/12/2020,For Sittard,6,4,2,1,0,4,0,26,12,38,6,7,0
10/01/2021,For Sittard,5,3,2,1,0,2,1,37,15,34,12,9,0
13/01/2021,For Sittard,6,3,2,1,0,4,1,41,18,31,14,5,0
16/01/2021,For Sittard,5,3,2,0,1,4,1,36,15,36,16,6,0
24/01/2021,For Sittard,5,2,2,0,1,3,0,31,15,39,15,3,0
27/01/2021,For Sittard,3,3,1,0,2,0,1,30,16,37,15,4,1
30/01/2021,For Sittard,5,3,2,0,1,0,1,36,21,31,16,2,1
05/02/2021,For Sittard,6,5,2,0,1,1,1,32,21,34,11,4,1
13/02/2021,For Sittard,5,4,2,0,1,1,1,39,19,33,14,5,0
20/02/2021,For Sittard,5,4,2,0,1,2,2,32,13,38,13,6,0
28/02/2021,For Sittard,4,2,2,0,1,2,2,36,11,28,16,4,0
