Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
13/09/2020,Groningen,1,3,0,0,1,0,1,14,2,12,3,4,0
20/09/2020,Groningen,1,0,1,0,0,1,0,13,6,11,8,1,0
25/09/2020,Groningen,1,3,0,0,1,0,2,11,5,4,3,1,0
04/10/2020,Groningen,3,6,1,0,2,1,3,38,13,27,14,6,0
18/10/2020,Groningen,3,3,2,0,1,1,2,35,14,25,12,2,0
25/10/2020,Groningen,2,3,1,1,1,0,2,38,9,29,8,6,0
31/10/2020,Groningen,4,1,2,1,0,2,0,44,14,33,11,6,0
08/11/2020,Groningen,5,2,2,1,0,3,0,47,17,31,15,7,0
21/11/2020,Groningen,5,4,2,0,1,3,0,39,17,26,14,5,1
29/11/2020,Groningen,3,4,1,1,1,2,1,29,10,34,13,6,1
06/12/2020,Groningen,2,3,1,1,1,1,1,33,7,38,14,5,1
12/12/2020,Groningen,4,2,2,1,0,1,2,41,9,44,21,3,1
19/12/2020,Groningen,5,1,3,0,0,0,1,42,10,35,18,3,1
23/12/2020,Groningen,7,3,3,0,0,1,2,36,13,31,18,3,1
09/01/2021,Groningen,5,3,2,0,1,1,1,33,15,30,13,3,0
14/01/2021,Groningen,5,5,1,1,1,3,2,32,13,29,13,2,0
17/01/2021,Groningen,5,5,1,1,1,2,1,31,11,31,12,3,0
23/01/2021,Groningen,7,6,1,2,0,2,3,35,12,24,13,3,0
26/01/2021,Groningen,5,5,1,1,1,0,3,32,11,37,14,4,0
30/01/2021,Groningen,5,3,1,1,1,2,3,35,13,40,13,3,0
13/02/2021,Groningen,3,2,1,0,2,2,2,31,10,47,11,3,0
21/02/2021,Groningen,4,1,2,0,1,3,1,41,16,39,14,2,0
24/02/2021,Groningen,2,2,1,1,1,1,2,43,12,33,14,2,0
28/02/2021,Groningen,2,1,1,2,0,1,1,38,12,31,13,1,0
