Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
12/09/2020,Heerenveen,2,0,1,0,0,1,0,13,7,12,3,2,0
19/09/2020,Heerenveen,3,1,1,0,0,3,0,10,5,11,2,0,0
26/09/2020,Heerenveen,1,0,1,0,0,1,0,16,8,12,8,1,0
02/10/2020,Heerenveen,6,1,3,0,0,5,0,39,20,35,13,3,0
18/10/2020,Heerenveen,5,2,2,1,0,5,1,36,16,37,12,3,1
24/10/2020,Heerenveen,3,6,1,1,1,2,4,35,16,40,19,5,1
01/11/2020,Heerenveen,6,6,1,1,1,3,4,33,13,34,16,6,1
08/11/2020,Heerenveen,9,6,2,0,1,5,3,35,16,28,17,4,0
22/11/2020,Heerenveen,8,4,2,0,1,5,2,35,12,22,11,3,0
28/11/2020,Heerenveen,5,5,1,1,1,4,2,33,12,24,11,6,1
06/12/2020,Heerenveen,2,5,0,2,1,2,3,43,10,30,18,7,1
13/12/2020,Heerenveen,4,4,0,3,0,2,2,46,16,23,21,6,1
20/12/2020,Heerenveen,4,4,0,3,0,1,3,48,17,37,17,3,0
23/12/2020,Heerenveen,4,5,0,2,1,0,3,42,15,33,13,3,1
10/01/2021,Heerenveen,2,6,0,1,2,0,2,41,12,41,8,4,1
14/01/2021,Heerenveen,2,8,0,0,3,0,4,37,8,35,12,2,1
17/01/2021,Heerenveen,2,7,0,1,2,1,3,31,12,33,9,2,0
23/01/2021,Heerenveen,3,5,0,2,1,1,3,40,15,32,16,2,0
27/01/2021,Heerenveen,2,3,0,2,1,1,0,36,15,27,15,3,0
31/01/2021,Heerenveen,4,2,1,1,1,2,0,41,15,30,18,3,0
06/02/2021,Heerenveen,3,1,1,1,1,2,0,25,9,29,15,3,0
14/02/2021,Heerenveen,4,0,2,1,0,2,0,30,10,27,14,2,0
21/02/2021,Heerenveen,2,3,1,1,1,0,1,20,8,24,10,3,0
26/02/2021,Heerenveen,3,4,1,1,1,1,1,24,9,29,11,2,0
