Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
13/09/2020,Heracles,2,0,1,0,0,0,0,22,5,5,7,1,0
20/09/2020,Heracles,0,4,0,0,1,0,0,7,2,8,5,0,0
27/09/2020,Heracles,1,1,0,1,0,1,0,9,2,16,4,4,0
03/10/2020,Heracles,3,5,1,1,1,1,0,38,9,29,16,5,0
17/10/2020,Heracles,1,8,0,1,2,1,2,19,4,33,13,5,0
25/10/2020,Heracles,1,5,0,1,2,1,3,36,8,45,14,6,0
01/11/2020,Heracles,1,5,0,1,2,0,3,46,8,41,19,5,0
07/11/2020,Heracles,5,3,1,1,1,2,1,58,15,44,19,6,0
22/11/2020,Heracles,7,5,1,1,1,3,0,41,11,31,19,5,1
29/11/2020,Heracles,6,9,1,0,2,3,3,30,11,32,15,5,1
06/12/2020,Heracles,3,10,0,0,3,1,5,18,5,32,12,5,1
11/12/2020,Heracles,1,7,0,1,2,0,5,15,6,35,8,10,1
20/12/2020,Heracles,2,4,0,1,2,0,3,21,8,33,10,8,1
23/12/2020,Heracles,3,3,1,1,1,1,1,26,9,33,12,8,1
09/01/2021,Heracles,4,3,2,0,1,1,1,30,8,33,11,3,0
12/01/2021,Heracles,3,3,2,0,1,1,1,28,9,29,7,5,0
16/01/2021,Heracles,5,2,2,0,1,2,1,40,18,25,16,3,0
23/01/2021,Heracles,4,4,1,0,2,2,2,35,16,27,16,4,0
26/01/2021,Heracles,5,2,2,0,1,2,1,32,14,29,19,2,0
30/01/2021,Heracles,3,4,1,1,1,2,1,19,7,24,9,4,0
05/02/2021,Heracles,4,2,2,1,0,3,0,24,10,26,13,3,0
13/02/2021,Heracles,4,2,2,1,0,4,0,25,12,29,13,4,0
21/02/2021,Heracles,2,2,2,0,1,2,1,32,10,37,16,3,0
27/02/2021,Heracles,1,5,1,0,2,1,3,31,7,31,14,5,0
