Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
13/09/2020,PSV Eindhoven,3,1,1,0,0,1,0,16,6,10,1,2,0
19/09/2020,PSV Eindhoven,2,1,1,0,0,1,0,21,5,8,7,0,0
27/09/2020,PSV Eindhoven,1,1,0,1,0,0,1,9,2,11,2,2,0
04/10/2020,PSV Eindhoven,6,3,2,1,0,2,1,46,13,29,10,4,0
18/10/2020,PSV Eindhoven,5,2,2,1,0,2,1,39,12,31,15,2,0
25/10/2020,PSV Eindhoven,6,1,2,1,0,4,1,30,12,40,11,4,0
01/11/2020,PSV Eindhoven,6,2,2,0,1,4,1,33,14,42,14,2,0
08/11/2020,PSV Eindhoven,8,2,2,0,1,4,1,46,18,41,12,3,0
22/11/2020,PSV Eindhoven,8,2,2,0,1,3,1,50,21,37,15,2,0
29/11/2020,PSV Eindhoven,8,1,2,1,0,4,0,54,22,32,19,4,0
06/12/2020,PSV Eindhoven,5,1,2,1,0,3,0,43,18,30,22,4,0
13/12/2020,PSV Eindhoven,4,3,1,2,0,2,0,39,14,21,26,5,0
19/12/2020,PSV Eindhoven,5,3,2,1,0,3,0,29,12,23,20,4,0
22/12/2020,PSV Eindhoven,8,4,2,1,0,5,0,35,17,22,17,5,0
10/01/2021,PSV Eindhoven,10,3,3,0,0,5,1,52,22,24,17,3,0
13/01/2021,PSV Eindhoven,10,4,2,1,0,5,2,53,26,22,20,3,0
16/01/2021,PSV Eindhoven,7,6,1,1,1,3,4,50,19,26,23,4,0
23/01/2021,PSV Eindhoven,8,8,1,1,1,3,4,32,17,27,16,4,0
26/01/2021,PSV Eindhoven,8,6,2,0,1,2,3,37,15,32,13,4,0
31/01/2021,PSV Eindhoven,9,3,3,0,0,2,1,43,21,25,17,1,0
06/02/2021,PSV Eindhoven,5,3,2,0,1,1,3,49,20,28,27,3,0
13/02/2021,PSV Eindhoven,6,3,2,0,1,2,3,62,23,21,31,2,0
21/02/2021,PSV Eindhoven,6,5,1,1,1,2,4,77,29,27,37,3,0
28/02/2021,PSV Eindhoven,8,3,2,1,0,2,2,82,38,36,25,3,0
