Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
13/09/2020,Sparta Rotterdam,0,1,0,0,1,0,1,14,3,13,2,2,0
19/09/2020,Sparta Rotterdam,0,2,0,0,1,0,1,2,1,15,7,4,1
26/09/2020,Sparta Rotterdam,0,4,0,0,1,0,1,9,2,10,5,1,1
04/10/2020,Sparta Rotterdam,0,7,0,0,3,0,3,25,6,38,14,7,2
18/10/2020,Sparta Rotterdam,4,10,0,1,2,0,6,28,10,42,17,6,2
25/10/2020,Sparta Rotterdam,5,9,0,2,1,0,6,37,14,45,14,3,1
01/11/2020,Sparta Rotterdam,6,6,0,3,0,0,5,38,17,48,13,4,1
07/11/2020,Sparta Rotterdam,3,6,0,2,1,0,4,36,16,39,12,4,1
22/11/2020,Sparta Rotterdam,4,5,1,1,1,0,3,45,18,31,16,5,1
29/11/2020,Sparta Rotterdam,9,4,2,0,1,1,3,57,26,25,19,4,0
04/12/2020,Sparta Rotterdam,8,1,2,0,1,1,0,46,20,27,16,6,0
13/12/2020,Sparta Rotterdam,8,2,2,0,1,2,0,33,15,31,9,5,0
19/12/2020,Sparta Rotterdam,5,3,2,0,1,3,0,29,11,38,7,5,0
22/12/2020,Sparta Rotterdam,7,5,2,0,1,4,1,40,15,35,14,3,0
10/01/2021,Sparta Rotterdam,7,4,2,0,1,4,1,45,19,34,16,2,0
13/01/2021,Sparta Rotterdam,4,5,1,0,2,2,2,38,11,30,17,3,0
16/01/2021,Sparta Rotterdam,3,2,2,0,1,1,1,42,12,35,14,2,0
24/01/2021,Sparta Rotterdam,4,7,1,0,2,1,2,42,11,34,16,3,0
28/01/2021,Sparta Rotterdam,4,6,1,0,2,1,1,42,11,32,15,2,0
31/01/2021,Sparta Rotterdam,3,6,0,1,2,1,1,35,11,24,11,3,0
13/02/2021,Sparta Rotterdam,1,2,0,2,1,0,1,35,10,29,9,3,0
21/02/2021,Sparta Rotterdam,2,3,0,2,1,1,2,40,15,30,7,4,0
28/02/2021,Sparta Rotterdam,4,7,0,1,2,1,5,40,14,35,9,4,0
