Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
12/09/2020,Twente,2,0,1,0,0,1,0,14,5,9,7,1,0
20/09/2020,Twente,1,1,0,1,0,1,1,10,3,20,4,2,0
25/09/2020,Twente,3,1,1,0,0,2,0,7,7,11,1,0,0
03/10/2020,Twente,6,2,2,1,0,4,1,31,15,40,12,3,0
17/10/2020,Twente,5,3,1,2,0,3,1,34,17,41,7,3,0
24/10/2020,Twente,7,2,2,1,0,3,0,40,22,28,6,2,0
31/10/2020,Twente,5,3,1,1,1,2,1,42,18,30,9,6,0
07/11/2020,Twente,9,3,2,0,1,5,1,33,16,34,12,6,0
22/11/2020,Twente,10,5,2,0,1,5,1,40,17,35,19,6,0
27/11/2020,Twente,10,4,2,1,0,4,1,42,18,38,17,3,0
05/12/2020,Twente,5,5,1,1,1,1,3,48,19,41,16,6,0
13/12/2020,Twente,3,4,1,1,1,1,3,38,15,44,12,5,0
19/12/2020,Twente,3,6,1,0,2,1,4,40,16,41,16,6,1
22/12/2020,Twente,5,5,2,0,1,2,2,44,19,39,20,4,1
09/01/2021,Twente,3,6,1,0,2,1,3,41,15,36,19,5,1
14/01/2021,Twente,6,4,2,0,1,4,1,38,16,35,15,4,0
17/01/2021,Twente,5,6,1,0,2,3,2,32,12,28,12,3,0
24/01/2021,Twente,7,6,1,1,1,5,1,32,16,29,13,4,0
28/01/2021,Twente,3,6,0,1,2,2,1,43,15,32,19,5,0
31/01/2021,Twente,2,3,0,2,1,2,0,37,12,31,19,4,0
06/02/2021,Twente,0,1,0,2,1,0,0,46,11,32,21,4,0
14/02/2021,Twente,0,3,0,2,1,0,2,30,8,24,17,2,1
21/02/2021,Twente,2,3,1,1,1,1,2,30,9,28,14,3,1
27/02/2021,Twente,4,5,1,1,1,3,3,20,11,27,10,2,1
