Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
18/09/2020,Utrecht,1,1,0,1,0,0,1,26,8,7,12,1,0
27/09/2020,Utrecht,3,1,1,0,0,1,0,12,7,7,6,0,0
02/10/2020,Utrecht,1,1,0,1,0,1,1,38,6,7,16,1,0
18/10/2020,Utrecht,5,3,1,2,0,2,2,76,21,21,34,2,0
24/10/2020,Utrecht,4,2,1,2,0,2,1,64,19,20,26,1,0
01/11/2020,Utrecht,3,2,1,2,0,2,2,64,17,20,27,2,0
08/11/2020,Utrecht,3,5,1,1,1,1,3,36,16,21,17,2,0
21/11/2020,Utrecht,3,8,1,0,2,1,3,27,12,29,13,2,0
29/11/2020,Utrecht,2,8,0,1,2,0,3,17,9,28,9,4,0
06/12/2020,Utrecht,2,5,0,2,1,0,1,23,11,33,11,4,0
13/12/2020,Utrecht,3,3,0,3,0,0,1,38,15,35,17,7,1
19/12/2020,Utrecht,3,4,0,2,1,0,2,51,21,44,23,5,1
22/12/2020,Utrecht,3,4,0,2,1,0,2,56,19,38,27,5,1
27/12/2020,Utrecht,5,5,1,1,1,1,4,52,19,34,24,2,0
09/01/2021,Utrecht,6,5,1,2,0,2,2,51,17,32,23,4,0
12/01/2021,Utrecht,7,6,1,2,0,3,4,49,18,36,20,5,0
16/01/2021,Utrecht,4,5,0,2,1,2,3,41,17,45,24,6,0
24/01/2021,Utrecht,4,3,1,1,1,2,3,43,19,45,24,5,0
27/01/2021,Utrecht,3,1,2,0,1,1,1,35,15,44,21,4,0
30/01/2021,Utrecht,4,0,3,0,0,1,0,39,15,37,16,5,0
14/02/2021,Utrecht,5,3,2,1,0,1,2,42,15,37,24,5,0
19/02/2021,Utrecht,7,4,2,1,0,1,2,55,24,43,24,4,0
27/02/2021,Utrecht,12,4,2,1,0,4,2,63,27,37,23,2,0
