Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
13/09/2020,VVV Venlo,5,3,1,0,0,0,1,14,7,13,3,3,0
18/09/2020,VVV Venlo,1,1,0,1,0,1,0,9,3,15,5,2,0
26/09/2020,VVV Venlo,0,1,0,0,1,0,1,13,2,10,5,1,2
03/10/2020,VVV Venlo,6,5,1,1,1,1,2,36,12,38,13,6,2
17/10/2020,VVV Venlo,2,4,0,1,2,2,2,32,8,37,14,5,2
24/10/2020,VVV Venlo,3,5,0,1,2,1,4,34,9,42,11,6,2
31/10/2020,VVV Venlo,3,17,0,1,2,1,7,24,7,44,9,6,1
07/11/2020,VVV Venlo,3,17,0,1,2,0,7,22,6,45,10,4,1
21/11/2020,VVV Venlo,4,17,1,0,2,0,6,20,6,47,9,3,1
28/11/2020,VVV Venlo,5,6,1,0,2,1,4,30,8,52,11,3,0
05/12/2020,VVV Venlo,6,6,1,1,1,2,4,33,8,49,10,3,0
13/12/2020,VVV Venlo,5,7,0,1,2,3,4,34,10,38,9,5,1
19/12/2020,VVV Venlo,4,8,0,1,2,2,2,29,11,33,9,4,1
22/12/2020,VVV Venlo,3,8,0,0,3,1,2,24,10,35,8,6,1
10/01/2021,VVV Venlo,2,9,0,0,3,1,2,18,5,33,11,2,0
13/01/2021,VVV Venlo,4,7,1,0,2,1,3,22,6,39,11,3,0
17/01/2021,VVV Venlo,7,6,2,0,1,2,2,31,13,39,9,4,0
24/01/2021,VVV Venlo,7,3,2,1,0,1,1,34,14,39,7,6,0
27/01/2021,VVV Venlo,6,2,2,1,0,1,0,29,16,35,3,6,0
30/01/2021,VVV Venlo,6,2,2,1,0,3,0,25,14,38,7,4,0
14/02/2021,VVV Venlo,7,4,2,0,1,3,1,30,15,39,10,5,0
20/02/2021,VVV Venlo,7,7,1,0,2,3,1,34,12,32,12,4,0
27/02/2021,VVV Venlo,4,10,0,0,3,1,2,28,7,30,9,3,1
