Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
13/09/2020,Vitesse,1,0,1,0,0,1,0,17,6,17,6,1,0
19/09/2020,Vitesse,2,0,1,0,0,1,0,26,9,4,6,2,0
26/09/2020,Vitesse,1,2,0,0,1,0,1,24,5,15,4,4,0
03/10/2020,Vitesse,4,2,2,0,1,2,1,67,20,36,16,7,0
18/10/2020,Vitesse,6,2,2,0,1,3,1,65,21,28,17,8,0
25/10/2020,Vitesse,6,2,2,0,1,3,1,59,20,31,14,9,1
31/10/2020,Vitesse,7,1,3,0,0,4,0,42,20,29,14,8,1
08/11/2020,Vitesse,7,2,3,0,0,2,1,44,17,35,12,8,1
21/11/2020,Vitesse,8,3,3,0,0,4,1,33,15,36,12,5,1
29/11/2020,Vitesse,7,3,2,1,0,4,2,35,11,33,9,3,1
05/12/2020,Vitesse,6,2,2,1,0,4,1,38,11,26,11,1,1
13/12/2020,Vitesse,4,3,1,1,1,2,1,41,9,32,10,3,1
20/12/2020,Vitesse,4,3,1,1,1,2,0,48,15,43,15,4,1
23/12/2020,Vitesse,3,3,1,1,1,3,0,40,15,57,12,8,1
09/01/2021,Vitesse,3,4,1,1,1,2,2,44,16,54,13,6,0
12/01/2021,Vitesse,4,3,2,0,1,2,2,40,12,46,14,5,0
16/01/2021,Vitesse,4,3,2,0,1,2,2,44,12,36,18,2,0
23/01/2021,Vitesse,7,1,3,0,0,4,0,43,17,36,16,5,0
27/01/2021,Vitesse,6,1,3,0,0,4,0,46,18,40,15,6,0
30/01/2021,Vitesse,6,5,2,0,1,3,3,54,19,42,11,6,0
06/02/2021,Vitesse,3,5,1,1,1,1,3,50,15,42,21,4,0
14/02/2021,Vitesse,2,6,0,1,2,0,3,46,14,33,19,3,0
21/02/2021,Vitesse,1,4,0,1,2,0,1,32,10,29,19,3,0
27/02/2021,Vitesse,1,6,0,0,3,1,1,31,7,26,9,2,0
