Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
13/09/2020,Waalwijk,0,1,0,0,1,0,1,7,3,11,0,1,0
20/09/2020,Waalwijk,0,3,0,0,1,0,2,6,3,6,3,0,1
27/09/2020,Waalwijk,1,3,0,0,1,0,1,12,4,14,1,0,0
17/10/2020,Waalwijk,1,7,0,0,3,0,4,25,10,31,4,1,1
21/10/2020,Waalwijk,2,6,1,0,2,1,3,23,8,35,6,1,1
25/10/2020,Waalwijk,3,4,1,1,1,1,1,28,8,41,12,3,0
01/11/2020,Waalwijk,4,3,1,2,0,1,0,24,10,46,13,5,0
07/11/2020,Waalwijk,3,6,0,2,1,0,1,22,10,44,12,6,0
22/11/2020,Waalwijk,2,7,0,1,2,0,1,18,11,41,9,4,0
27/11/2020,Waalwijk,1,6,0,1,2,0,2,32,15,28,23,3,0
05/12/2020,Waalwijk,3,3,1,1,1,2,1,39,21,26,30,1,0
12/12/2020,Waalwijk,6,3,2,1,0,3,2,57,27,31,30,4,0
19/12/2020,Waalwijk,5,4,2,0,1,3,1,46,20,42,20,5,0
22/12/2020,Waalwijk,4,8,1,0,2,1,3,51,17,43,19,6,0
09/01/2021,Waalwijk,2,8,0,0,3,1,3,36,11,40,18,4,0
14/01/2021,Waalwijk,2,7,0,0,3,1,4,42,13,42,14,3,0
17/01/2021,Waalwijk,2,4,0,1,2,1,3,42,13,36,16,3,0
23/01/2021,Waalwijk,2,3,0,2,1,1,2,49,16,37,13,3,0
27/01/2021,Waalwijk,2,4,0,2,1,1,2,39,14,22,15,3,0
30/01/2021,Waalwijk,2,5,0,1,2,1,1,38,17,29,14,3,0
06/02/2021,Waalwijk,2,5,0,1,2,0,1,32,15,28,17,4,0
12/02/2021,Waalwijk,3,4,0,2,1,1,0,32,15,35,14,3,0
21/02/2021,Waalwijk,3,2,1,2,0,1,0,37,14,31,14,2,0
27/02/2021,Waalwijk,5,1,2,1,0,3,0,34,14,27,14,1,0
