Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
12/09/2020,Willem II,0,2,0,0,1,0,1,10,5,13,10,3,0
20/09/2020,Willem II,4,0,1,0,0,0,0,19,5,10,8,1,0
27/09/2020,Willem II,1,1,0,1,0,1,1,14,2,7,8,1,0
04/10/2020,Willem II,5,3,1,1,1,1,2,43,12,30,26,5,0
17/10/2020,Willem II,6,5,1,1,1,2,2,39,10,32,17,3,0
24/10/2020,Willem II,2,8,0,1,2,2,3,38,14,32,21,5,0
31/10/2020,Willem II,1,7,0,1,2,1,2,36,15,35,16,5,0
08/11/2020,Willem II,1,6,0,1,2,1,1,42,19,29,21,7,0
21/11/2020,Willem II,1,6,0,1,2,1,2,30,12,29,13,4,1
29/11/2020,Willem II,3,7,1,0,2,3,3,26,14,33,13,5,1
05/12/2020,Willem II,2,5,1,0,2,2,3,18,8,36,11,3,1
13/12/2020,Willem II,4,5,1,0,2,2,4,23,9,40,15,8,1
20/12/2020,Willem II,3,7,0,0,3,0,5,23,7,33,18,9,1
23/12/2020,Willem II,6,11,0,0,3,2,7,30,11,31,17,9,1
10/01/2021,Willem II,5,9,0,1,2,2,5,29,13,23,9,4,0
14/01/2021,Willem II,5,8,0,1,2,3,3,38,16,26,4,3,0
17/01/2021,Willem II,4,6,0,1,2,1,1,43,17,21,6,2,0
22/01/2021,Willem II,4,6,0,1,2,1,1,46,18,36,7,4,0
28/01/2021,Willem II,4,7,0,1,2,1,1,38,16,37,11,3,1
31/01/2021,Willem II,3,7,0,1,2,1,1,29,14,38,7,3,1
14/02/2021,Willem II,4,6,1,0,2,2,0,28,12,31,7,1,1
19/02/2021,Willem II,3,8,1,0,2,1,1,25,11,28,6,1,0
24/02/2021,Willem II,2,11,1,0,2,1,4,25,8,28,8,2,0
28/02/2021,Willem II,1,12,0,1,2,0,4,26,7,28,16,6,1
