Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
12/09/2020,Zwolle,0,2,0,0,1,0,1,17,5,15,3,3,0
19/09/2020,Zwolle,1,1,0,1,0,1,0,14,4,22,2,5,1
26/09/2020,Zwolle,4,0,1,0,0,1,0,20,8,12,9,1,0
18/10/2020,Zwolle,5,3,1,1,1,2,1,51,17,49,14,9,1
21/10/2020,Zwolle,5,4,1,1,1,2,3,46,15,45,15,8,1
24/10/2020,Zwolle,5,4,1,1,1,1,3,53,17,36,18,5,0
31/10/2020,Zwolle,1,4,0,2,1,0,3,53,13,36,18,7,1
06/11/2020,Zwolle,2,6,0,2,1,0,3,51,15,36,18,5,1
21/11/2020,Zwolle,3,7,0,2,1,1,5,42,10,32,18,3,1
28/11/2020,Zwolle,4,8,0,2,1,2,5,32,10,37,12,3,0
05/12/2020,Zwolle,5,5,0,3,0,3,3,35,11,39,12,4,1
12/12/2020,Zwolle,5,4,1,2,0,2,2,39,15,44,11,6,1
18/12/2020,Zwolle,4,7,1,1,1,1,5,35,14,35,9,3,1
23/12/2020,Zwolle,2,5,1,1,1,0,4,38,13,27,12,2,0
09/01/2021,Zwolle,2,4,1,1,1,0,3,42,14,22,12,1,0
13/01/2021,Zwolle,3,1,1,2,0,1,0,41,13,22,14,2,0
16/01/2021,Zwolle,3,2,1,1,1,1,0,33,10,22,12,2,0
22/01/2021,Zwolle,1,4,0,1,2,1,0,21,6,25,13,1,0
26/01/2021,Zwolle,3,4,1,0,2,0,1,37,10,29,14,1,0
30/01/2021,Zwolle,5,5,1,1,1,0,3,39,12,37,15,2,0
06/02/2021,Zwolle,8,6,1,2,0,2,4,41,14,38,13,3,1
13/02/2021,Zwolle,6,6,0,3,0,2,4,39,16,33,15,2,1
20/02/2021,Zwolle,4,5,0,2,1,2,3,41,16,35,12,2,2
26/02/2021,Zwolle,3,5,0,1,2,1,4,41,14,30,12,2,1
