Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
18/09/2020,Belenenses,1,0,1,0,0,0,0,4,3,20,2,4,0
28/09/2020,Belenenses,1,2,0,0,1,1,0,10,5,17,5,3,0
04/10/2020,Belenenses,0,0,0,1,0,0,0,7,2,15,2,2,0
18/10/2020,Belenenses,2,2,1,1,1,1,0,21,10,52,9,9,0
26/10/2020,Belenenses,1,2,0,2,1,1,0,32,12,54,14,7,0
31/10/2020,Belenenses,0,2,0,2,1,0,1,28,9,45,11,4,0
06/11/2020,Belenenses,1,3,0,2,1,0,1,28,10,45,17,5,0
29/11/2020,Belenenses,1,3,0,2,1,0,1,24,6,40,16,5,0
06/12/2020,Belenenses,1,1,0,3,0,0,0,32,8,43,21,9,0
19/12/2020,Belenenses,2,1,1,2,0,2,0,36,10,39,18,8,0
27/12/2020,Belenenses,2,2,1,1,1,2,0,32,11,41,14,12,2
04/01/2021,Belenenses,3,4,1,0,2,3,2,28,14,57,12,12,3
10/01/2021,Belenenses,1,3,0,1,2,1,2,24,10,65,10,11,3
18/01/2021,Belenenses,1,4,0,1,2,1,3,31,14,66,16,7,1
25/01/2021,Belenenses,0,3,0,1,2,0,2,28,9,54,13,6,1
01/02/2021,Belenenses,2,3,1,0,2,2,2,29,11,50,14,7,1
04/02/2021,Belenenses,2,3,1,0,2,2,2,26,6,50,8,7,1
08/02/2021,Belenenses,2,2,1,1,1,2,1,25,4,47,8,8,0
12/02/2021,Belenenses,1,3,0,2,1,1,2,27,5,44,8,9,0
20/02/2021,Belenenses,1,1,0,3,0,1,1,36,15,45,11,11,0
01/03/2021,Belenenses,3,2,1,2,0,2,2,46,19,49,18,10,0
