Date,Team,FTG,FTGC,W,D,L,HTG,HTGC,S,ST,F,C,Y,R
18/09/2020,Benfica,5,1,1,0,0,3,0,13,7,10,4,2,0
26/09/2020,Benfica,2,0,1,0,0,1,0,29,10,11,10,2,0
04/10/2020,Benfica,3,2,1,0,0,1,0,12,7,12,3,3,0
18/10/2020,Benfica,10,3,3,0,0,5,0,54,24,33,17,7,0
26/10/2020,Benfica,8,2,3,0,0,4,0,54,23,40,17,8,0
02/11/2020,Benfica,8,2,3,0,0,4,0,40,19,44,14,6,0
08/11/2020,Benfica,5,3,2,0,1,3,2,33,14,47,17,7,0
30/11/2020,Benfica,4,6,1,0,2,1,3,32,13,43,18,5,0
06/12/2020,Benfica,4,7,1,0,2,1,4,29,9,37,23,6,0
20/12/2020,Benfica,6,5,2,0,1,1,3,37,11,43,23,3,0
29/12/2020,Benfica,6,2,3,0,0,1,2,36,12,38,21,4,0
03/01/2021,Benfica,6,2,3,0,0,2,1,39,16,47,12,6,0
08/01/2021,Benfica,5,2,2,1,0,3,0,33,14,40,16,6,0
15/01/2021,Benfica,5,2,2,1,0,3,0,43,13,51,24,6,0
25/01/2021,Benfica,4,2,1,2,0,2,1,40,11,59,24,7,0
01/02/2021,Benfica,4,2,1,2,0,2,1,44,12,66,21,7,0
05/02/2021,Benfica,2,3,0,2,1,2,1,28,9,64,11,10,0
08/02/2021,Benfica,1,2,0,2,1,1,0,38,10,52,17,7,0
14/02/2021,Benfica,2,1,1,1,1,2,0,40,12,53,14,9,0
21/02/2021,Benfica,3,1,1,2,0,3,1,53,18,51,22,7,0
01/03/2021,Benfica,3,1,1,2,0,3,1,46,15,56,20,8,0
